Comparison,species_label,order_label,average,sd,ava,avb,diff,contrib_signed,cluster_higher
1_4,Euphausia pacifica,Euphausiacea,0.03198383633818939,0.02739393924465075,0.010984167728787651,0.02008710998899585,-0.009102942260208198,-0.03198383633818939,4
1_4,Nanomia bijuga,Siphonophorae,0.02297924576342078,0.021961307893050466,0.02128177958534503,0.006283457358441201,0.014998322226903829,0.02297924576342078,1
1_4,Ditrichocorycaeus anglicus,Cyclopoida,0.019976273339863505,0.009597295647594012,0.03328975136383926,0.0020154074846676345,0.03127434387917162,0.019976273339863505,1
1_4,Nematoscelis difficilis,Euphausiacea,0.01925385682999193,0.014216142686666315,0.01872746981667977,0.002837263226935053,0.015890206589744715,0.01925385682999193,1
1_4,Paraeuchaeta rubra,Calanoida,0.018837016914524968,0.016353056872809035,0.018622746287071515,0.0035989041140562757,0.01502384217301524,0.018837016914524968,1
1_4,Acrocalanus monachus,Calanoida,0.01756719649816305,0.013736889335126535,0.007292102595623034,0.006822949996679349,4.6915259894368504e-4,0.01756719649816305,1
3_2,Eucalanus californicus,Calanoida,0.09770359721798799,0.031713521545576634,2.3471172358036156e-4,0.004091927490866159,-0.003857215767285797,-0.09770359721798799,2
3_2,Ctenocalanus vanus,Calanoida,0.0644172924647976,0.01582208379915657,0.044736481300925904,0.002424538442602096,0.042311942858323806,0.0644172924647976,3
3_2,Euchaeta marina,Calanoida,0.03934754643563506,0.01689157339866026,0.012232670379663036,0.005466212182542103,0.006766458197120934,0.03934754643563506,3
3_2,Clausocalanus furcatus,Calanoida,0.034647070158511484,0.01221904768194298,0.05202472464853105,5.709596328598113e-4,0.05145376501567124,0.034647070158511484,3
3_2,Mecynocera clausi,Calanoida,0.034331560828695346,0.01734009553016496,0.021755850723372595,0.003508647358141799,0.018247203365230797,0.034331560828695346,3
3_2,Unidentified Sagitta,Aphragmophora,0.024701786132216803,0.020691003153487108,0.003052478028517109,0.009294998672558265,-0.006242520644041155,-0.024701786132216803,2
3_2,Pleuromamma abdominalis edentata,Calanoida,0.02301582643260454,0.013954654258577089,0.013309890412410857,0.008405880939954242,0.004904009472456615,0.02301582643260454,3
3_2,Acrocalanus monachus,Calanoida,0.020402938068572195,0.013171821967882741,0.010942171165680055,0.00842780969520742,0.0025143614704726345,0.020402938068572195,3
3_2,Neocalanus gracilis,Calanoida,0.017651394717317682,0.020679930959957543,0.002911948225105155,0.013094360011144144,-0.01018241178603899,-0.017651394717317682,2
3_2,Lensia campanella,Siphonophorae,0.017582837130687246,0.014766454409176833,0.008448598031154187,0.006445049161952239,0.0020035488692019474,0.017582837130687246,3
4_2,Eucalanus californicus,Calanoida,0.28892902066119647,0.0617384973998396,0.0064804108332799076,0.004091927490866159,0.0023884833424137487,0.28892902066119647,4
4_2,Calanus pacificus,Calanoida,0.11607463901241888,0.03528629743804467,0.012869148661807299,0.0013362832322275885,0.01153286542957971,0.11607463901241888,4
4_2,Unidentified Sagitta,Aphragmophora,0.0355369761168142,0.026338748736732597,0.008407664493827483,0.009294998672558265,-8.87334178730782e-4,-0.0355369761168142,2
