Hash,C1.T7.H9_S1,C1.T7.H9_S2,C1.T7.H9_S3,C1.T8.H10_S1,C1.T8.H10_S2,C1.T8.H10_S3,C2.T8.H18_S1,C2.T8.H18_S2,C2.T8.H18_S3,C2.T9.H19_S1,C2.T9.H19_S2,C2.T9.H19_S3,C3.T6.H25_S1,C3.T6.H25_S2,C3.T6.H25_S3,C3.T7.H26_S1,C3.T7.H26_S2,C3.T7.H26_S3,CT1.T1.H28_S1,CT1.T1.H28_S2,CT1.T1.H28_S3,CT1.T2.H29_S1,CT1.T2.H29_S2,CT1.T2.H29_S3,CT1.T3.H30_S1,CT1.T3.H30_S2,CT1.T3.H30_S3,CT1.T4.H31_S1,CT1.T4.H31_S2,CT1.T4.H31_S3,CT1.T5.H32_S1,CT1.T5.H32_S2,CT1.T5.H32_S3,CT1.T6.H33_S1,CT1.T6.H33_S2,CT1.T6.H33_S3,CT1.T7.H34_S1,CT1.T7.H34_S2,CT1.T7.H34_S3,CT1.T8.H35_S1,CT1.T8.H35_S2,CT1.T8.H35_S3,CT2.T1.H36_S1,CT2.T1.H36_S2,CT2.T1.H36_S3,CT2.T4.H39_S1,CT2.T4.H39_S2,CT2.T4.H39_S3,CT2.T8.H43_S1,CT2.T8.H43_S2,CT2.T8.H43_S3
b7e9dc36de1a879d6ec7460013fa62304a3aabc1,50,0,0,0,0,0,0,87,366,,51,430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,85,29,0,0,0,0,0,113,675,0,0,228
bb43537ab7d266d059e40deb9e1f8536790adc35,629,151,4660,38,67,0,169,1104,1145,,327,65,533,518,63,1309,987,0,593,1021,968,1273,2763,64,1429,0,0,904,533,131,944,537,2667,161,399,0,0,4,0,622,213,510,343,449,384,2027,157,387,210,13,153
bd47ade374a1d1bb53455acb57695af761642b75,798,1910,134,240,0,0,1458,826,0,,0,0,126,0,0,778,0,0,2990,2212,0,1696,860,0,350,160,0,2150,0,0,1138,724,0,1222,254,0,0,0,0,2752,0,0,994,1526,528,0,0,0,1208,0,0
bebaa1501a5f3bac408a59cc194f031c99d255a7,59,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c106e1cd25bef13848fb5696229c97e7ec724fc1,44,202,124,0,0,0,57,455,0,,0,0,256,194,0,654,0,0,215,294,67,567,554,0,249,0,0,174,0,0,245,123,0,0,0,0,0,0,0,94,0,0,46,0,77,0,0,0,177,0,0
c40ce5c9da5927cd51e1e3df99e36cc3984796e8,183,0,0,0,0,0,91,553,0,,0,0,3472,857,0,5678,317,0,579,0,412,5685,48,251,1990,0,0,1932,0,0,826,0,79,30344,97,0,0,0,3,265,0,0,0,0,0,201,33,0,1081,0,0
c4a0c1355dd25265f145bb130cac95b582645d56,15,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c621ead91f54c394ee29a0669ebe477d85be4b7d,2113,0,0,680,0,0,2200,315,0,,0,0,217,0,0,1057,0,0,979,0,0,670,0,0,595,0,0,461,0,0,1508,0,0,704,0,0,234,0,0,658,0,0,1911,801,0,0,0,0,921,0,0
ce727816c673d819552f1acf79236fc5e4178ce7,29,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cedcb1af2b62e6d6afea91c34a7db2530337e833,150,666,0,0,86,0,0,0,0,,0,0,0,1334,0,0,0,0,0,56,0,0,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,630,520,0,0,0,660,32,0
