"","20C_AllPool.1","20C_AllPool.2","20C_AllPool.3","24C_AllPool.1","24C_AllPool.2","24C_AllPool.3","28C_AllPool.1","28C_AllPool.2","28C_AllPool.3","C1.T7.H9_S1.1","C1.T7.H9_S1.2","C1.T8.H10_S1.2","C2.T8.H18_S1.1","C2.T8.H18_S1.2","C3.T6.H25_S1.1","C3.T6.H25_S1.2","C3.T7.H26_S1.1","C3.T7.H26_S1.2","CT1.T1.H28_S1.1","CT1.T1.H28_S1.2","CT1.T2.H29_S1.1","CT1.T2.H29_S1.2","CT1.T3.H30_S1.1","CT1.T3.H30_S1.2","CT1.T4.H31_S1.1","CT1.T4.H31_S1.2","CT1.T5.H32_S1.1","CT1.T5.H32_S1.2","CT1.T6.H33_S1.1","CT1.T6.H33_S1.2","CT1.T7.H34_S1.1","CT1.T7.H34_S1.2","CT1.T8.H35_S1.1","CT1.T8.H35_S1.2","CT2.T1.H36_S1.1","CT2.T1.H36_S1.2","CT2.T4.H39_S1.1","CT2.T4.H39_S1.2","CT2.T8.H43_S1.1","CT2.T8.H43_S1.2","C1.T7.H9_S1.3","C1.T8.H10_S1.3","C2.T8.H18_S1.3","C3.T6.H25_S1.3","C3.T7.H26_S1.3","CT1.T1.H28_S1.3","CT1.T2.H29_S1.3","CT1.T3.H30_S1.3","CT1.T4.H31_S1.3","CT1.T5.H32_S1.3","CT1.T6.H33_S1.3","CT1.T7.H34_S1.3","CT1.T8.H35_S1.3","CT2.T1.H36_S1.3","CT2.T8.H43_S1.3"
".562a6c89616b1cf51f15caa15b0e5a565dfe0427",224,172,173,150,135,175,70,64,124,0,119,0,0,11,0,12,0,26,0,49,32,33,107,113,0,0,21,75,0,1,0,0,22,55,0,58,166,1354,5,21,56,0,0,0,49,0,14,38,0,84,0,0,106,0,0
"Neocalanus.56db9b8934558866af0f1f1eaf48a1122b20eb51",25,16,18,8,5,14,0,0,12,0,0,0,0,0,0,0,0,0,11,69,28,36,116,114,0,0,58,204,0,27,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,145,18,0,0,0,0
".58aec46ab4910cf08bbfda67e8aa7321828ce906",162,148,141,126,148,146,84,112,122,0,86,0,0,0,0,0,0,0,0,20,0,0,39,18,0,0,0,17,0,0,0,6,0,24,0,38,45,641,0,0,54,0,0,0,0,0,0,0,0,17,0,0,60,0,0
"Calanus.5c28fb044703f8d7dc9a17c20a178f0e34feb322",4192,3856,3915,2841,3648,3624,2827,3521,2836,58,3314,922,107,1039,0,0,0,0,108,2220,99,115,0,0,0,40,170,503,0,105,238,1819,1186,1931,106,4532,0,254,824,1236,1448,354,2146,0,246,686,120,0,300,547,171,2016,1219,560,724
"Paracalanus parvus.5d9ee140b17e218e06fffae434d6dad14ebb91db",194,192,170,127,130,162,100,98,170,18,1270,273,54,586,11,185,98,627,36,581,144,190,341,332,19,28,158,797,35,329,45,147,119,265,56,1735,0,0,124,237,850,123,907,109,402,120,149,109,361,875,374,158,82,248,119
".6950a504c858e51241cac98cb4b1b8cad81eff0e",181,151,146,119,149,141,101,98,128,0,324,86,0,73,0,114,89,220,42,444,372,326,266,297,0,38,83,257,0,0,0,0,242,375,0,126,0,178,79,122,186,59,149,111,410,217,303,164,243,356,0,39,221,49,73
"Metridia pacifica.6b976e008f3c98aa86cb64aa686cbfcb409c8f0a",1971,1755,1621,1310,1748,1567,1031,1265,1213,0,1887,591,0,627,0,428,428,691,0,2859,750,1113,402,275,0,184,468,1321,294,1818,128,566,753,1402,64,2442,0,0,576,747,1118,594,1587,292,1064,2434,1490,188,1108,2089,1929,1068,1313,290,1053
"Calanus helgolandicus.6db8cc221939cdc8c55a0191ffe9bdeca0679b0e",196,157,150,111,169,166,111,108,110,0,55,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,6,0,0,0,0,0,48,0,0,165,1403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0
"Calanus helgolandicus.6e6b2ae850506cc0ea7baa4492214e7987501560",13679,12347,11543,8478,10404,10097,6754,7928,6465,77,4999,546,217,762,0,0,0,0,150,2289,45,117,0,0,0,34,173,654,104,496,722,2741,669,2315,406,9068,390,2474,690,1123,2521,185,1514,0,218,174,0,0,397,568,300,3161,2270,571,284
"Neocalanus cristatus.7761526519fda29c5c9ac6663b370054e80b7263",537,443,387,176,217,221,110,103,120,0,49,13,3,0,0,0,0,0,12,306,25,82,378,298,12,7,107,492,48,104,0,0,0,23,2,29,0,0,9,8,14,3,11,0,15,0,0,35,405,226,24,0,24,0,0
"Calanus helgolandicus.78f54f41acba54d14189a57d673d19a7e9c4b936",2732,2627,2555,2086,2494,2604,2021,2353,1920,18,811,115,8,159,0,0,0,0,5,155,2,1,0,0,0,0,27,80,0,1,74,830,159,231,21,1199,0,205,120,160,459,69,370,0,15,71,7,0,14,114,0,1063,243,188,131
"Pleuromamma borealis.7ed69f089c6a810c9434950899ffa09ad91e3f6d",256,193,147,40,48,45,10,7,17,0,42,0,0,0,83,526,197,230,0,171,131,360,0,0,0,0,0,9,0,0,0,0,16,89,0,156,0,0,111,229,0,0,0,121,95,7,89,0,273,0,0,0,1,0,29
"Ctenocalanus vanus.7f93c2356b7a75855bf23901a4a4946a09c74ed6",197,186,136,61,73,82,42,0,48,0,109,41,0,32,95,441,463,903,57,528,307,624,874,953,39,30,326,1030,196,1128,18,23,0,55,11,282,0,9,80,127,52,0,38,339,558,0,336,295,420,988,507,0,16,0,0
".856adbbd6780d096aa923a18481a9884b70edf25",123,0,88,0,0,59,0,0,0,0,0,0,0,0,19,39,140,147,0,0,0,0,0,0,0,0,0,0,73,152,0,0,29,103,15,94,0,0,0,0,61,0,0,0,123,0,0,0,0,0,77,0,2106,0,0
"Calanus helgolandicus.894f73dc6883f29a838304fd218efdfaf12bd154",480,495,403,304,369,388,267,324,246,0,126,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,155,147,1132,0,79,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0
"Paracalanus parvus.961cd5ce154310c7fd54468560aca8d35041c8c7",1558,1275,963,365,442,416,111,141,216,62,4060,267,360,1000,128,780,1323,1563,85,1238,161,475,825,674,71,71,348,1741,927,3675,216,182,89,566,525,8755,14,57,184,434,2708,69,1731,101,705,33,91,100,1889,1008,1316,138,43,403,49
"Metridia pacifica.97d5948bd4b4362b9bfcff8f47c1af49259ea0d2",359,333,318,241,305,326,353,313,265,0,623,204,0,189,64,633,444,1623,157,1910,1360,1671,740,648,96,242,709,1989,178,1716,0,158,372,608,0,415,0,30,503,566,277,0,332,591,1784,1209,1925,334,1286,2947,2659,205,480,71,621
"Calanus.9b9f6e13b644886afad8864d6601b2000dae17a0",123,100,87,61,82,83,62,49,81,0,93,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,1,7,0,0,35,37,0,13,0,32,59,378,0,6,45,0,0,0,1,0,0,0,1,2,0,30,142,0,0
".a19023e2938b2d4c19d5e2b8c4962e8bcd73177d",328,263,212,73,89,0,0,0,0,0,53,5,0,0,0,0,86,57,0,254,46,107,118,118,0,0,9,46,0,32,0,0,21,200,0,49,588,2404,0,0,48,0,0,0,39,0,25,16,0,19,0,0,142,0,0
"Pleuromamma.a32d276e30f76e771318e8c516046bc05f72db69",287,208,194,122,140,168,73,100,139,0,247,0,0,0,239,3000,714,1777,0,623,1045,1796,4675,4398,146,170,174,582,127,329,28,97,137,264,0,77,0,199,0,117,162,0,0,1274,1162,0,949,1738,691,433,254,77,72,0,0
"Metridia pacifica.b0c15e6164ee940205efe0f1e1a0a0c19435ec9f",29592,24827,21245,11104,13597,13425,7261,8752,7702,358,26277,15312,2943,15432,683,5513,4804,6955,4844,116117,11868,21317,4525,4326,2414,5240,4824,17233,4897,23429,1745,5933,24254,51419,1743,45407,0,95,12423,19998,11909,7685,31375,1838,8040,40956,14723,1156,36243,16959,13138,6827,21023,3364,12590
"Rhincalanus.b39500169f19f6f7dc74cde23a266fe3bd9d8079",134,108,123,89,115,110,76,78,76,0,144,61,0,0,0,0,0,0,0,98,0,0,0,0,0,0,24,65,0,0,0,22,20,47,0,84,0,59,81,102,65,39,18,0,28,45,4,0,9,88,0,41,85,29,48
"NA.b4f1ebf501eb18abdf4c773ae170c08177107dd4",109,107,91,0,43,0,0,0,20,0,0,0,0,0,18,129,38,0,12,219,0,34,168,131,0,0,0,168,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,72,0,0,0,0,0
".bb43537ab7d266d059e40deb9e1f8536790adc35",470,368,333,207,216,209,85,98,114,0,401,38,18,63,57,329,267,520,70,523,383,518,647,608,75,62,164,405,15,69,0,0,129,381,18,297,198,1829,91,119,228,0,88,147,522,0,372,174,767,375,77,0,112,28,0
"Metridia pacifica.bd47ade374a1d1bb53455acb57695af761642b75",238,233,0,0,138,0,0,0,0,0,211,120,0,107,0,0,94,73,0,790,245,213,110,65,0,0,103,177,0,299,0,0,499,575,0,497,0,0,205,204,188,0,622,63,222,705,390,0,1075,289,312,0,302,0,195
