,Sample_name,cycle_num,Pool,sample_id,sample_num
86,CT2.T4.H39_S3.2,30,2,CT2.T4.H39_S3,CT2.T4.H39_S3
87,CT2.T8.H43_S1.1,30,1,CT2.T8.H43_S1,CT2.T8.H43_S1
88,CT2.T8.H43_S1.2,30,2,CT2.T8.H43_S1,CT2.T8.H43_S1
89,CT2.T8.H43_S2.1,30,1,CT2.T8.H43_S2,CT2.T8.H43_S2
90,CT2.T8.H43_S2.2,30,2,CT2.T8.H43_S2,CT2.T8.H43_S2
91,CT2.T8.H43_S3.1,30,1,CT2.T8.H43_S3,CT2.T8.H43_S3
92,CT2.T8.H43_S3.2,30,2,CT2.T8.H43_S3,CT2.T8.H43_S3
93,20C_AllPool.1,20,1,20C_AllPool,Calibration
94,20C_AllPool.2,20,2,20C_AllPool,Calibration
95,20C_AllPool.3,20,3,20C_AllPool,Calibration
96,20C_Pooled.A1.A3.1,20,1,20C_Pooled.A1.A3,Calibration
97,20C_Pooled.A1.A3.2,20,2,20C_Pooled.A1.A3,Calibration
98,20C_Pooled.A1.A3.3,20,3,20C_Pooled.A1.A3,Calibration
99,20C_Pooled.B3.B5.1,20,1,20C_Pooled.B3.B5,Calibration
100,20C_Pooled.B3.B5.2,20,2,20C_Pooled.B3.B5,Calibration
101,20C_Pooled.B3.B5.3,20,3,20C_Pooled.B3.B5,Calibration
102,20C_Pooled.C5.C7.1,20,1,20C_Pooled.C5.C7,Calibration
103,20C_Pooled.C5.C7.2,20,2,20C_Pooled.C5.C7,Calibration
104,20C_Pooled.C5.C7.3,20,3,20C_Pooled.C5.C7,Calibration
105,24C_AllPool.1,24,1,24C_AllPool,Calibration
106,24C_AllPool.2,24,2,24C_AllPool,Calibration
107,24C_AllPool.3,24,3,24C_AllPool,Calibration
108,24C_Pooled.A1.A3.1,24,1,24C_Pooled.A1.A3,Calibration
109,24C_Pooled.A1.A3.2,24,2,24C_Pooled.A1.A3,Calibration
110,24C_Pooled.A1.A3.3,24,3,24C_Pooled.A1.A3,Calibration
111,24C_Pooled.B3.B5.1,24,1,24C_Pooled.B3.B5,Calibration
112,24C_Pooled.B3.B5.2,24,2,24C_Pooled.B3.B5,Calibration
113,24C_Pooled.B3.B5.3,24,3,24C_Pooled.B3.B5,Calibration
114,24C_Pooled.C5.C7.1,24,1,24C_Pooled.C5.C7,Calibration
115,24C_Pooled.C5.C7.2,24,2,24C_Pooled.C5.C7,Calibration
116,24C_Pooled.C5.C7.3,24,3,24C_Pooled.C5.C7,Calibration
117,28C_AllPool.1,28,1,28C_AllPool,Calibration
118,28C_AllPool.2,28,2,28C_AllPool,Calibration
119,28C_AllPool.3,28,3,28C_AllPool,Calibration
120,28C_Pooled.A1.A3.1,28,1,28C_Pooled.A1.A3,Calibration
121,28C_Pooled.A1.A3.2,28,2,28C_Pooled.A1.A3,Calibration
122,28C_Pooled.B3.B5.1,28,1,28C_Pooled.B3.B5,Calibration
123,28C_Pooled.B3.B5.2,28,2,28C_Pooled.B3.B5,Calibration
124,28C_Pooled.B3.B5.3,28,3,28C_Pooled.B3.B5,Calibration
125,28C_Pooled.C5.C7.1,28,1,28C_Pooled.C5.C7,Calibration
126,28C_Pooled.C5.C7.2,28,2,28C_Pooled.C5.C7,Calibration
127,28C_Pooled.C5.C7.3,28,3,28C_Pooled.C5.C7,Calibration
128,C1.T7.H9_S1.3,30,3,C1.T7.H9_S1,C1.T7.H9_S1
129,C1.T7.H9_S2.3,30,3,C1.T7.H9_S2,C1.T7.H9_S2
130,C1.T7.H9_S3.3,30,3,C1.T7.H9_S3,C1.T7.H9_S3
131,C1.T8.H10_S1.3,30,3,C1.T8.H10_S1,C1.T8.H10_S1
132,C1.T8.H10_S3.3,30,3,C1.T8.H10_S3,C1.T8.H10_S3
133,C2.T8.H18_S1.3,30,3,C2.T8.H18_S1,C2.T8.H18_S1
134,C2.T8.H18_S2.3,30,3,C2.T8.H18_S2,C2.T8.H18_S2
135,C2.T8.H18_S3.3,30,3,C2.T8.H18_S3,C2.T8.H18_S3
136,C2.T9.H19_S2.3,30,3,C2.T9.H19_S2,C2.T9.H19_S2
137,C2.T9.H19_S3.3,30,3,C2.T9.H19_S3,C2.T9.H19_S3
138,C3.T6.H25_S1.3,30,3,C3.T6.H25_S1,C3.T6.H25_S1
139,C3.T6.H25_S2.3,30,3,C3.T6.H25_S2,C3.T6.H25_S2
140,C3.T7.H26_S1.3,30,3,C3.T7.H26_S1,C3.T7.H26_S1
141,C3.T7.H26_S2.3,30,3,C3.T7.H26_S2,C3.T7.H26_S2
142,C3.T7.H26_S3.3,30,3,C3.T7.H26_S3,C3.T7.H26_S3
143,CT1.T1.H28_S1.3,30,3,CT1.T1.H28_S1,CT1.T1.H28_S1
144,CT1.T1.H28_S2.3,30,3,CT1.T1.H28_S2,CT1.T1.H28_S2
145,CT1.T1.H28_S3.3,30,3,CT1.T1.H28_S3,CT1.T1.H28_S3
146,CT1.T2.H29_S1.3,30,3,CT1.T2.H29_S1,CT1.T2.H29_S1
147,CT1.T2.H29_S2.3,30,3,CT1.T2.H29_S2,CT1.T2.H29_S2
148,CT1.T3.H30_S1.3,30,3,CT1.T3.H30_S1,CT1.T3.H30_S1
149,CT1.T4.H31_S1.3,30,3,CT1.T4.H31_S1,CT1.T4.H31_S1
150,CT1.T4.H31_S2.3,30,3,CT1.T4.H31_S2,CT1.T4.H31_S2
151,CT1.T4.H31_S3.3,30,3,CT1.T4.H31_S3,CT1.T4.H31_S3
152,CT1.T5.H32_S1.3,30,3,CT1.T5.H32_S1,CT1.T5.H32_S1
153,CT1.T5.H32_S2.3,30,3,CT1.T5.H32_S2,CT1.T5.H32_S2
154,CT1.T5.H32_S3.3,30,3,CT1.T5.H32_S3,CT1.T5.H32_S3
155,CT1.T6.H33_S1.3,30,3,CT1.T6.H33_S1,CT1.T6.H33_S1
156,CT1.T6.H33_S3.3,30,3,CT1.T6.H33_S3,CT1.T6.H33_S3
157,CT1.T7.H34_S1.3,30,3,CT1.T7.H34_S1,CT1.T7.H34_S1
158,CT1.T7.H34_S2.3,30,3,CT1.T7.H34_S2,CT1.T7.H34_S2
159,CT1.T7.H34_S3.3,30,3,CT1.T7.H34_S3,CT1.T7.H34_S3
160,CT1.T8.H35_S1.3,30,3,CT1.T8.H35_S1,CT1.T8.H35_S1
161,CT1.T8.H35_S2.4,30,4,CT1.T8.H35_S2,CT1.T8.H35_S2
162,CT2.T1.H36_S1.3,30,3,CT2.T1.H36_S1,CT2.T1.H36_S1
163,CT2.T1.H36_S3.3,30,3,CT2.T1.H36_S3,CT2.T1.H36_S3
164,CT2.T4.H39_S2.3,30,3,CT2.T4.H39_S2,CT2.T4.H39_S2
165,CT2.T4.H39_S3.3,30,3,CT2.T4.H39_S3,CT2.T4.H39_S3
166,CT2.T8.H43_S1.3,30,3,CT2.T8.H43_S1,CT2.T8.H43_S1
167,CT2.T8.H43_S2.3,30,3,CT2.T8.H43_S2,CT2.T8.H43_S2
168,CT2.T8.H43_S3.3,30,3,CT2.T8.H43_S3,CT2.T8.H43_S3
