"","C1.T7.H9","C1.T8.H10","C2.T8.H18","C2.T9.H19","C3.T6.H25","C3.T7.H26","CT1.T1.H28","CT1.T2.H29","CT1.T3.H30","CT1.T4.H31","CT1.T5.H32","CT1.T6.H33","CT1.T7.H34","CT1.T8.H35","CT2.T1.H36","CT2.T4.H39","CT2.T8.H43"
"Ctenocalanus vanus e6e62aec4e6530ec9d88231193468a1b57ca384e",127,0,563,0,222,736,153,396,194,257,113,2963,99,0,0,0,208
"Rhincalanus e9df96b4b8095a1d6d53b05d63742ff85af54576",107,47,0,0,0,0,0,1,0,0,88,0,0,0,546,63,0
" ece56b1db36cafe8ce16da6836d580dc30c143ce",876,0,1419,0,221,2583,89,520,0,119,978,0,0,46,0,0,0
"Clausocalanus furcatus f07422dab8587806440ce31551c5c29726d1d1c7",37,0,241,0,0,213,0,79,110,0,720,0,0,32,0,0,0
"Metridia pacifica f0f0d90e0b068596c08719d08b82987032ec3857",167,0,412,67,0,149,185,82,65,0,575,0,96,77,75,0,111
"Metridia pacifica f10fe77e3403856fcab6288232f5f46a50261607",542,382,506,0,0,0,510,346,74,0,408,0,0,564,992,0,162
"Clausocalanus furcatus f8a30baa160074c5d81f39bbfa5ce59111caa57a",209,173,937,0,1313,2945,1949,2941,2006,1319,4551,918,272,763,225,0,487
"Pleuromamma fa7356df1a872486053eb1a14ff614012cdadde9",1094,1808,1178,0,9490,3900,5284,18474,18350,1378,5228,2804,0,490,302,982,78
"Clausocalanus furcatus feb7c743a91055e70bfa4286091f360a580f26c7",120,0,769,0,1359,1936,1041,3954,539,663,428,4288,79,304,0,11,987
" ff62c6fc3f5f5a03af66155247b74210ad634523",964,144,1852,3374,222,724,128,626,70,242,2390,606,652,618,2738,2798,288
"Pleuromamma borealis 387d4852e3e92fa092e4d58207f93a07a1040fd7",4,0,0,0,5924,0,0,298,0,0,0,208,0,0,158,0,58
"Metridia pacifica 3949ba94f0477add06d64a4ce6018ac190c245c1",195,0,411,0,414,324,56,99,0,0,43,0,0,0,116,0,202
"Metridia 895287893d328205e9b9f2cab768c786d7981636",98,0,25,0,0,0,82,339,0,0,52,0,0,0,0,0,120
"Pleuromamma b87a6f0f02e462d8aba180cca20863b9c69bf65a",89,0,124,0,212,183,120,349,0,0,0,0,0,92,0,0,425
"Pleuromamma bf87a932b56f5ea063f60d58296ef8446602c4ad",174,0,380,0,514,615,506,1542,459,223,485,0,0,71,0,0,0
"Metridia ca6dfd6dba5eb1fc6d69017dd4253eceb58a3072",26,12,16,0,0,0,18,0,0,0,31,0,0,0,45,0,0
" cb7758e8f39b2aeb6e8fc6931a0f1bfd99f5dd32",22,0,37,0,20,187,188,93,15,93,0,40,0,0,102,0,0
" 02093d4b1f1d2e1fcf497230b517e5990a1f4a38",22,154,0,0,63,0,0,73,0,0,0,37,0,35,32,86,0
"Pleuromamma 0887051b9ae38b4090517ba7baa16f0caf86a6c3",23,233,0,0,0,0,288,450,0,0,0,0,0,149,0,308,0
"Pleuromamma abdominalis 10d98a9e8191737474408e3922019918cf9ce20e",1164,1164,2220,0,410,1446,7314,7218,0,182,596,0,0,2468,146,1910,0
"Pleuromamma 2655c6ab73c0d798851414a6bc09fc1b4469d3a9",227,12241,287,0,3000,226,11592,119455,0,71,444,0,0,1870,23,2170,0
" 499488cac0be3a2185ce9f654a389130100bac2f",136,0,1206,954,14,220,0,116,0,6,616,0,0,0,116,564,0
"Rhincalanus 99ba0382e7a698637a042caec0dcdd415f551b33",30,84,1150,0,0,0,76,0,0,0,54,0,0,28,0,920,0
" 9eb9bcecb427fec7490eb8091ae120d4cbd47c0f",509,59,42,0,234,207,276,932,434,43,818,25,0,275,0,968,0
"Metridia pacifica b49b5b962f90500633efdc08ccee2e44af816ced",106,0,451,0,559,562,797,1784,362,0,279,0,0,0,0,0,459
" eaa619cbaa6e11540fc8848ffb78d1f0131bc91a",307,0,288,0,179,335,0,271,0,71,537,0,0,0,0,0,0
"Neocalanus 01cfa38140aa27513302c83969784a3f310533bf",0,24,0,0,56,0,162,232,296,94,854,64,0,0,72,0,0
"Metridia ac384404529e503efeb007347b0d8e05ab50e11f",0,13,0,0,0,93,64,0,0,0,135,0,0,38,0,0,0
" 40363c0ad68d2a4c24210270dc6c03bf909874d3",0,12,0,0,17,0,0,0,0,18,0,53,0,0,0,261,0
"Calanus helgolandicus a145a40787b04637744888e0e1580dd7b4dbbd1b",0,21,0,61,0,0,0,0,0,0,0,0,399,46,72,844,177
"Pleuromamma abdominalis 0ad7d161a79e87bc491bafda78b254e1282fed6d",0,66,0,0,0,0,91,487,0,0,0,0,0,240,0,467,0
"Pleuromamma abdominalis e3e5a61eb5666017d1727db9864dd89c28c9e790",0,410,0,0,5,0,575,0,0,0,0,0,0,389,0,669,0
"Metridia pacifica 1db1b49185d0d4cf20f888eb9992b256f76a4651",0,0,411,0,131,443,207,289,0,254,199,3244,99,0,0,0,190
" 6d73948ba71bef2c78986a84eaea1a093e7badd1",0,0,39,0,0,92,0,0,0,22,119,0,0,12,9,0,0
"Metridia 13dfed8b69f5d4139ad79da7deb7b0d04fa3fd20",0,0,127,0,0,0,35,31,0,0,189,0,0,0,0,0,50
"Ctenocalanus vanus 1697ba47f1c2be293c647c5091398b901634ae3a",0,0,190,0,283,653,0,217,226,0,152,3960,0,0,0,0,0
" 33f2049df73abee355aaf102f1c6c31652f4daa5",0,0,74,0,217,0,0,41,0,49,16,0,0,0,0,0,0
" 3f42e5232e8b6a4552895a81fc2e6c42712289cc",0,0,48,0,56,682,27,43,0,43,0,0,0,0,0,0,0
"Clausocalanus furcatus 47fee77eb15aeb9efa7931aa8ff1bf58daa8e10c",0,0,134,0,0,40,0,0,33,0,212,0,100,0,0,0,0
"Clausocalanus furcatus 6647789a84c7db9d0c1d2f947175e285be91538b",0,0,205,0,2349,2215,209,415,0,60,0,3629,0,0,0,0,0
"Clausocalanus furcatus 6b07660f743f9e1c643619d1f389bcbfcf57ec7b",0,0,422,0,0,215,0,0,194,0,959,0,175,0,0,0,0
"Clausocalanus furcatus 8577eff0f563ec52315e009601f4f144ea2b9efe",0,0,84,0,267,399,90,224,0,0,0,427,0,0,0,0,0
" a884906383f29cb9637d008fea0a85cba5ed0652",0,0,115,0,0,194,90,109,40,0,34,0,0,8,0,0,0
"Clausocalanus furcatus e4c6acc45d16b5ed83f3e4d765f8a63ceabf6f0d",0,0,76,0,884,1036,59,241,0,0,0,2128,0,0,0,0,0
" b35f9cee21f667eaebd1f9bd7ed5d7f2c482df4f",0,0,51,0,759,0,0,447,0,201,0,445,0,0,0,84,0
" fd99fb4d70b4abaa1e52c3b6fe8005c90bfba176",0,0,0,23,0,0,28,0,0,0,0,42,3,12,0,0,0
"Metridia pacifica 02674ce12f1c4dce64c6f67782e4b588240ce808",0,0,0,0,62,246,106,1244,308,658,0,102,0,0,0,0,0
"Clausocalanus furcatus 1068cadcb65c9cea88274a0d597c6ca1354ada7f",0,0,0,0,567,389,74,130,0,0,0,1877,0,0,0,0,0
"Neocalanus gracilis 131dafe8f92e88ca8e8c497413822303eea5970c",0,0,0,0,937,1167,0,160,0,0,0,84,0,0,0,134,0
"Clausocalanus furcatus 13d4114046cb395e85da1be98837a9c692eb7728",0,0,0,0,224,368,178,961,100,506,0,3251,0,0,0,0,99
"Clausocalanus furcatus 2c29d2d209eb3ba54d8edc80d83fbef9e99e2995",0,0,0,0,33,81,0,130,61,9,2,100,0,0,0,0,0
"Clausocalanus furcatus 4c23922ac5270945975a10c2e85dce4f397ee20f",0,0,0,0,1328,1155,219,244,0,0,0,4120,0,0,0,0,0
"Clausocalanus furcatus 5b0767e43273de2f7dec3209ec957f8fbe6cecc3",0,0,0,0,27,124,0,78,123,48,40,11,0,0,0,0,0
"Clausocalanus furcatus 7d30749dc626d812e4fe8fddce6bae2923e56070",0,0,0,0,62,71,50,157,277,554,105,536,0,0,0,0,0
"Clausocalanus furcatus 80c3e483e565edd2763fa0e91b23615fc85fb093",0,0,0,0,1052,1170,75,309,0,0,0,5270,0,0,0,0,0
"Species 86e954b6b4640de2a532d0f2c9329b96891d511d",0,0,0,0,41,0,47,52,0,0,0,0,3,21,0,0,0
"Metridia pacifica 86f6cb8c4e9a20dea9ddf40297f8eefe97ee67f3",0,0,0,0,305,375,181,125,0,0,0,409,0,0,0,0,0
"Acartia Acartia danae 953f575003c1e038640b89d2ec04ddae519ec438",0,0,0,0,63,222,50,642,378,319,0,845,0,0,36,0,0
"Metridia pacifica 967a00d91e1b8279afe69c53c9d9908868aeebf9",0,0,0,0,32,87,84,383,32,0,0,157,0,0,0,0,87
"Mecynocera clausi af5ea7274c611cbd5dc67f669804d691126cd232",0,0,0,0,65,126,0,4,45,30,0,28,0,0,0,0,0
" cba418bc94dc3a64e15200ce11bda8c6e0582205",0,0,0,0,84,533,119,187,48,245,22,115,2,0,71,0,0
"Metridia pacifica ccc2d40f56326ef68b7798111cc07ce4d344d62c",0,0,0,0,312,451,178,224,0,0,0,605,0,0,0,0,0
"Clausocalanus furcatus d50cee8867864f04eccfaa66d9ede8620e857a63",0,0,0,0,136,342,0,387,397,359,0,221,0,0,0,0,0
"Neocalanus gracilis dabec5c8e3721be348236817cddd3c31eb1647ce",0,0,0,0,5118,9075,351,73,35849,914,283,1598,0,0,0,549,0
"Calocalanus plumulosus db0e450a361e5c4eaf843aa029db5c9f5193d32f",0,0,0,0,30,6,13,55,0,4,5,43,0,0,0,0,0
"Clausocalanus furcatus dd9ab0bde274b12a769a68774748905fb7188c0b",0,0,0,0,46,116,0,139,130,439,0,169,0,0,0,0,0
"Clausocalanus furcatus ef10dc04c555989e2c8fa539eb5a9696612325fa",0,0,0,0,671,1450,58,200,0,0,0,864,0,0,0,0,0
"Metridia pacifica f0811d7c1afc61b0190a200923bc854777e6fbc5",0,0,0,0,2440,1348,548,0,2362,758,578,640,0,0,0,0,0
"Neocalanus gracilis f439140f389fcafab48955b2d982492c4de5820f",0,0,0,0,1989,1200,355,43,1139,335,226,472,0,0,11,22,19
"Calocalanus styliremis fee2b972e2337c7fec774733831482a13e032658",0,0,0,0,41,0,15,33,101,0,31,121,0,0,47,0,12
"Metridia pacifica 11e73a6cb407f486e216772ee0c421774380ca59",0,0,0,0,482,0,0,424,0,316,60,210,0,0,0,0,0
"Neocalanus 56db9b8934558866af0f1f1eaf48a1122b20eb51",0,0,0,0,78,0,160,278,504,252,814,194,4,14,74,0,0
" 6b518c427c01dcb2d856adda991fd08f6a6c3638",0,0,0,0,817,42,5,411,0,170,46,110,0,0,0,0,0
" 797f748e36cdfa7759685d94f831c8c27ad02d95",0,0,0,0,27,159,0,0,45,0,0,15,0,0,0,25,0
" 79b0869feff67fe1e43f6dc9d8ddb99d92d4382d",0,0,0,0,18,69,0,0,20,0,0,25,0,0,0,25,0
"Neocalanus bf5fb30ed1cb71468ac5f842314f3b9841142760",0,0,0,0,117,317,0,0,282,0,0,175,0,0,0,120,0
"Neocalanus gracilis cf20a5c3684c767dd7a47573041ed57b174d91b4",0,0,0,0,25,42,0,0,58,0,0,127,0,0,0,167,0
"Candacia bipinnata 686fd8b59c6f87b27fe6a21b366a0e4b838135e1",0,0,0,0,73,0,262,2224,0,57,181,4603,0,0,0,0,0
" 3ebe763dad94716c53b6402a986142c429796f35",0,0,0,0,0,0,11,46,7,0,9,16,0,0,0,0,0
"Metridia pacifica 0c84003ceec1fb7c3e6c2c04c0221e1bcf2c45f0",0,0,0,0,0,0,510,340,0,838,0,0,0,676,584,0,294
"Calanus helgolandicus 28047060a764c8d2f133476a3c1893291d007c2e",0,0,0,0,0,0,0,0,0,0,0,0,642,368,145,1513,457
