"","20C_AllPool.1","20C_AllPool.2","20C_AllPool.3","24C_AllPool.1","24C_AllPool.2","24C_AllPool.3","28C_AllPool.1","28C_AllPool.2","28C_AllPool.3","C1.T7.H9_S1.1","C1.T7.H9_S1.2","C1.T8.H10_S1.2","C2.T8.H18_S1.1","C2.T8.H18_S1.2","C3.T6.H25_S1.1","C3.T6.H25_S1.2","C3.T7.H26_S1.1","C3.T7.H26_S1.2","CT1.T1.H28_S1.1","CT1.T1.H28_S1.2","CT1.T2.H29_S1.1","CT1.T2.H29_S1.2","CT1.T3.H30_S1.1","CT1.T3.H30_S1.2","CT1.T4.H31_S1.1","CT1.T4.H31_S1.2","CT1.T5.H32_S1.1","CT1.T5.H32_S1.2","CT1.T6.H33_S1.1","CT1.T6.H33_S1.2","CT1.T7.H34_S1.1","CT1.T7.H34_S1.2","CT1.T8.H35_S1.1","CT1.T8.H35_S1.2","CT2.T1.H36_S1.1","CT2.T1.H36_S1.2","CT2.T4.H39_S1.1","CT2.T4.H39_S1.2","CT2.T8.H43_S1.1","CT2.T8.H43_S1.2","C1.T7.H9_S1.3","C1.T8.H10_S1.3","C2.T8.H18_S1.3","C3.T6.H25_S1.3","C3.T7.H26_S1.3","CT1.T1.H28_S1.3","CT1.T2.H29_S1.3","CT1.T3.H30_S1.3","CT1.T4.H31_S1.3","CT1.T5.H32_S1.3","CT1.T6.H33_S1.3","CT1.T7.H34_S1.3","CT1.T8.H35_S1.3","CT2.T1.H36_S1.3","CT2.T8.H43_S1.3","spp_hash"
"21",2732,2627,2555,2086,2494,2604,2021,2353,1920,18,811,115,8,159,0,0,0,0,5,155,2,1,0,0,0,0,27,80,0,1,74,830,159,231,21,1199,0,205,120,160,459,69,370,0,15,71,7,0,14,114,0,1063,243,188,131,"Calanus helgolandicus.78f54f41acba54d14189a57d673d19a7e9c4b936"
"22",256,193,147,40,48,45,10,7,17,0,42,0,0,0,83,526,197,230,0,171,131,360,0,0,0,0,0,9,0,0,0,0,16,89,0,156,0,0,111,229,0,0,0,121,95,7,89,0,273,0,0,0,1,0,29,"Pleuromamma borealis.7ed69f089c6a810c9434950899ffa09ad91e3f6d"
"23",480,495,403,304,369,388,267,324,246,0,126,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,155,147,1132,0,79,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,"Calanus helgolandicus.894f73dc6883f29a838304fd218efdfaf12bd154"
"24",1558,1275,963,365,442,416,111,141,216,62,4060,267,360,1000,128,780,1323,1563,85,1238,161,475,825,674,71,71,348,1741,927,3675,216,182,89,566,525,8755,14,57,184,434,2708,69,1731,101,705,33,91,100,1889,1008,1316,138,43,403,49,"Paracalanus parvus.961cd5ce154310c7fd54468560aca8d35041c8c7"
"25",359,333,318,241,305,326,353,313,265,0,623,204,0,189,64,633,444,1623,157,1910,1360,1671,740,648,96,242,709,1989,178,1716,0,158,372,608,0,415,0,30,503,566,277,0,332,591,1784,1209,1925,334,1286,2947,2659,205,480,71,621,"Metridia pacifica.97d5948bd4b4362b9bfcff8f47c1af49259ea0d2"
"26",287,208,194,122,140,168,73,100,139,0,247,0,0,0,239,3000,714,1777,0,623,1045,1796,4675,4398,146,170,174,582,127,329,28,97,137,264,0,77,0,199,0,117,162,0,0,1274,1162,0,949,1738,691,433,254,77,72,0,0,"Pleuromamma.a32d276e30f76e771318e8c516046bc05f72db69"
"27",29592,24827,21245,11104,13597,13425,7261,8752,7702,358,26277,15312,2943,15432,683,5513,4804,6955,4844,116117,11868,21317,4525,4326,2414,5240,4824,17233,4897,23429,1745,5933,24254,51419,1743,45407,0,95,12423,19998,11909,7685,31375,1838,8040,40956,14723,1156,36243,16959,13138,6827,21023,3364,12590,"Metridia pacifica.b0c15e6164ee940205efe0f1e1a0a0c19435ec9f"
"28",470,368,333,207,216,209,85,98,114,0,401,38,18,63,57,329,267,520,70,523,383,518,647,608,75,62,164,405,15,69,0,0,129,381,18,297,198,1829,91,119,228,0,88,147,522,0,372,174,767,375,77,0,112,28,0,"Calanoida.bb43537ab7d266d059e40deb9e1f8536790adc35"
"29",14919,12507,9252,4325,4936,5908,2399,2741,5695,0,0,0,0,0,0,0,0,0,0,297,0,0,0,0,1778,1311,0,0,48,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41863,0,0,0,18,0,0,"NA.e09b485dd4d1bd133e7845d395237f38d661eb69"
"30",4324,3835,3851,2978,3691,3589,2774,3295,2768,30,1815,313,59,394,0,0,0,0,45,773,60,96,164,165,0,25,150,548,0,75,162,1299,417,672,88,2493,0,48,295,514,642,118,640,0,48,202,0,27,142,632,33,1474,478,267,249,"Metridia pacifica.e199318c40876066960330bd9ea208fb7639a760"
"31",259,217,217,152,154,141,100,103,126,0,86,25,5,0,0,0,0,0,41,504,90,211,801,785,0,28,371,1173,27,125,0,0,0,23,2,45,0,0,18,25,37,10,29,0,89,0,0,194,335,868,87,0,18,0,0,"Neocalanus cristatus.e396f514beb6bb0e29a828575cc7fea775d24085"
"32",170,205,211,165,155,199,128,87,110,0,97,111,0,55,0,434,269,1060,99,1207,761,923,696,579,85,201,599,1462,0,302,20,173,214,291,0,146,0,0,133,209,112,62,309,580,1550,604,1228,668,919,2439,497,79,258,0,145,"Clausocalanus furcatus.f8a30baa160074c5d81f39bbfa5ce59111caa57a"
"33",218,207,156,61,38,49,11,7,15,0,35,0,0,0,323,2405,650,710,0,182,275,624,4289,3952,0,49,22,100,0,257,0,0,7,56,0,22,126,365,0,22,0,0,0,476,370,0,168,875,509,35,0,0,16,0,0,"Pleuromamma.fa7356df1a872486053eb1a14ff614012cdadde9"
"34",57,87,90,61,70,91,48,85,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,57,256,654,215,567,249,174,245,0,0,94,46,177,"Metridia pacifica.c106e1cd25bef13848fb5696229c97e7ec724fc1"
"35",149974,127163,109905,67983,82655,82860,50287,59553,57957,910,72022,24590,4698,26448,2466,28317,16118,31748,6575,156460,25923,42622,28061,25927,5144,9145,13286,45040,8912,48869,5543,22766,39097,83957,4430,116000,3260,23552,25743,41301,41719,12572,55613,11767,32549,57802,32906,9079,108854,54026,30911,29023,54982,10223,30915,"NA.other"
