"","20C_AllPool.1","20C_AllPool.2","20C_AllPool.3","24C_AllPool.1","24C_AllPool.2","24C_AllPool.3","28C_AllPool.1","28C_AllPool.2","28C_AllPool.3","C1.T7.H9_S2.1","C1.T7.H9_S2.2","C1.T8.H10_S2.1","C1.T8.H10_S2.2","C2.T8.H18_S2.1","C2.T8.H18_S2.2","C2.T9.H19_S2.1","C2.T9.H19_S2.2","C3.T6.H25_S2.1","C3.T6.H25_S2.2","C3.T7.H26_S2.1","C3.T7.H26_S2.2","CT1.T1.H28_S2.1","CT1.T1.H28_S2.2","CT1.T2.H29_S2.1","CT1.T2.H29_S2.2","CT1.T3.H30_S2.1","CT1.T4.H31_S2.2","CT1.T5.H32_S2.1","CT1.T5.H32_S2.2","CT1.T6.H33_S2.1","CT1.T6.H33_S2.2","CT1.T7.H34_S2.1","CT1.T7.H34_S2.2","CT1.T8.H35_S2.1","CT1.T8.H35_S2.2","CT2.T1.H36_S2.1","CT2.T1.H36_S2.2","CT2.T4.H39_S2.1","CT2.T4.H39_S2.2","CT2.T8.H43_S2.1","CT2.T8.H43_S2.2","C1.T7.H9_S2.3","C2.T8.H18_S2.3","C2.T9.H19_S2.3","C3.T6.H25_S2.3","C3.T7.H26_S2.3","CT1.T1.H28_S2.3","CT1.T2.H29_S2.3","CT1.T4.H31_S2.3","CT1.T5.H32_S2.3","CT1.T7.H34_S2.3","CT1.T8.H35_S2.4","CT2.T4.H39_S2.3","CT2.T8.H43_S2.3"
".5153fd153d032ca08987dc412a9c67b6794b21bf",594,531,369,195,201,216,93,72,86,0,51,0,95,19,110,35,66,0,0,0,0,97,131,0,0,0,0,36,184,0,0,0,29,0,121,203,266,46,139,0,81,0,140,0,0,0,37,0,0,50,0,0,46,0
"Metridia pacifica.5548f5906a4522e2196d674ad3826fb4fc8430b8",135,112,85,65,105,84,62,0,76,0,179,0,38,40,198,0,12,0,91,13,33,443,635,319,559,0,86,244,517,0,37,0,0,0,28,271,190,0,0,0,0,154,455,0,60,0,756,658,0,338,0,0,0,0
".562a6c89616b1cf51f15caa15b0e5a565dfe0427",224,172,173,150,135,175,70,64,124,0,0,0,108,86,175,0,161,0,25,39,126,76,114,0,83,0,91,14,34,0,121,0,71,0,463,103,128,71,200,0,32,0,157,122,0,0,60,0,0,0,0,0,74,0
"Neocalanus.56db9b8934558866af0f1f1eaf48a1122b20eb51",25,16,18,8,5,14,0,0,12,0,0,0,0,0,0,0,0,0,39,0,0,0,0,19,56,22,12,0,0,15,37,0,2,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
".58aec46ab4910cf08bbfda67e8aa7321828ce906",162,148,141,126,148,146,84,112,122,0,0,0,101,24,111,25,131,0,0,0,0,30,65,5,17,0,25,6,15,0,49,70,95,0,447,92,70,79,210,0,53,0,79,108,0,0,34,0,0,16,43,223,139,0
"Calanus.5c28fb044703f8d7dc9a17c20a178f0e34feb322",4192,3856,3915,2841,3648,3624,2827,3521,2836,67,1554,96,1082,387,1770,58,328,0,0,0,0,1083,1976,0,0,17,421,138,351,114,1325,0,54,50,1164,4866,3708,0,59,81,775,521,2157,317,0,0,1456,0,0,255,0,488,0,0
".6950a504c858e51241cac98cb4b1b8cad81eff0e",181,151,146,119,149,141,101,98,128,0,306,0,57,85,339,0,49,35,146,49,108,407,646,424,662,0,272,214,464,0,132,0,0,0,56,318,219,0,0,0,0,158,480,61,185,0,466,753,0,251,0,0,0,0
"Metridia pacifica.6b976e008f3c98aa86cb64aa686cbfcb409c8f0a",1971,1755,1621,1310,1748,1567,1031,1265,1213,0,859,0,247,259,828,0,56,56,246,0,91,887,1195,232,475,358,437,441,806,0,839,0,0,0,313,1858,1606,0,0,38,143,762,1883,75,224,0,1886,463,0,818,0,50,0,0
"Calanus helgolandicus.6db8cc221939cdc8c55a0191ffe9bdeca0679b0e",196,157,150,111,169,166,111,108,110,0,0,0,67,0,96,0,100,0,0,0,0,57,87,0,1,0,11,3,15,0,0,64,63,0,272,104,87,0,0,0,0,0,84,78,0,0,24,0,0,12,0,0,0,0
"Calanus helgolandicus.6e6b2ae850506cc0ea7baa4492214e7987501560",13679,12347,11543,8478,10404,10097,6754,7928,6465,90,688,323,2607,750,2849,321,1235,0,0,0,0,1133,1664,0,10,0,538,85,238,454,2775,845,1926,483,9191,5146,4972,1582,3872,678,4655,131,2088,1767,0,0,755,0,0,209,1216,5379,4483,0
"Neocalanus cristatus.7761526519fda29c5c9ac6663b370054e80b7263",537,443,387,176,217,221,110,103,120,0,0,0,37,2,0,7,0,24,72,0,10,48,93,37,248,46,36,7,43,217,528,117,283,0,78,57,53,22,66,19,60,0,31,6,0,0,0,0,0,0,45,36,53,0
"Calanus helgolandicus.78f54f41acba54d14189a57d673d19a7e9c4b936",2732,2627,2555,2086,2494,2604,2021,2353,1920,6,88,45,818,124,564,16,220,0,0,0,0,178,338,0,0,1,53,10,27,23,436,75,144,54,1799,1797,1249,0,96,99,1503,42,503,229,0,0,324,0,0,39,0,1033,0,0
"Pleuromamma borealis.7ed69f089c6a810c9434950899ffa09ad91e3f6d",256,193,147,40,48,45,10,7,17,0,26,0,27,0,7,0,0,108,564,9,37,23,27,0,132,0,32,0,0,0,47,0,0,0,42,29,59,0,0,0,23,1,52,0,188,0,0,0,0,0,0,0,0,0
"Calanus helgolandicus.894f73dc6883f29a838304fd218efdfaf12bd154",480,495,403,304,369,388,267,324,246,0,0,0,411,0,0,0,0,0,0,0,0,0,0,0,1,0,43,0,0,0,333,0,0,0,321,210,142,0,0,0,511,0,257,0,0,0,0,0,0,0,0,0,0,0
"Metridia pacifica.97d5948bd4b4362b9bfcff8f47c1af49259ea0d2",359,333,318,241,305,326,353,313,265,0,357,0,101,83,328,0,75,41,247,135,231,392,660,326,451,0,489,351,672,0,316,0,0,0,54,544,402,0,0,0,23,141,1699,91,225,0,848,642,0,486,0,0,0,0
"Calanus.9b9f6e13b644886afad8864d6601b2000dae17a0",123,100,87,61,82,83,62,49,81,0,0,0,20,7,28,0,0,0,0,0,0,0,7,0,2,0,26,19,33,27,138,75,250,0,118,181,191,12,28,11,34,0,37,0,0,0,0,0,0,22,33,0,0,0
".a19023e2938b2d4c19d5e2b8c4962e8bcd73177d",328,263,212,73,89,0,0,0,0,0,19,0,0,44,98,27,0,29,159,36,122,119,203,225,1212,0,75,22,80,0,52,0,0,0,95,38,84,0,0,0,7,0,57,0,23,0,0,115,0,15,0,0,0,0
"Pleuromamma.a32d276e30f76e771318e8c516046bc05f72db69",287,208,194,122,140,168,73,100,139,21,255,31,141,96,174,0,0,62,407,159,475,275,479,1776,4112,260,432,114,273,192,1645,0,0,0,0,127,134,0,0,0,0,44,761,0,182,0,240,2571,0,88,0,0,0,0
"Metridia pacifica.b0c15e6164ee940205efe0f1e1a0a0c19435ec9f",29592,24827,21245,11104,13597,13425,7261,8752,7702,2417,60429,292,1827,3552,12831,284,396,652,3376,178,508,18911,30899,5507,15078,3751,6813,6364,17879,2189,11668,0,40,164,1650,25186,24695,0,20,226,627,25454,19076,281,1635,0,23850,7880,323,8993,0,179,0,0
"Rhincalanus.b39500169f19f6f7dc74cde23a266fe3bd9d8079",134,108,123,89,115,110,76,78,76,10,79,0,71,0,66,0,0,0,0,0,0,82,141,0,0,0,0,114,229,0,0,0,0,0,19,331,236,0,0,0,24,0,140,0,0,0,107,0,0,100,0,0,0,0
".bb43537ab7d266d059e40deb9e1f8536790adc35",470,368,333,207,216,209,85,98,114,0,151,0,67,117,374,62,127,104,259,247,740,346,474,491,1679,0,533,112,320,87,312,0,4,0,213,203,246,30,107,0,13,0,613,138,155,0,201,593,0,105,0,0,20,0
"Metridia pacifica.bd47ade374a1d1bb53455acb57695af761642b75",238,233,0,0,138,0,0,0,0,0,505,0,0,0,0,0,0,0,0,0,0,341,254,118,143,80,0,96,111,0,127,0,0,0,0,532,231,0,0,0,0,450,413,0,0,0,511,169,0,155,0,0,0,0
".cba418bc94dc3a64e15200ce11bda8c6e0582205",30,20,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,41,117,20,35,32,108,0,18,0,0,14,101,0,2,0,0,21,24,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0
"Pleuromamma.cedcb1af2b62e6d6afea91c34a7db2530337e833",89,67,99,57,79,86,89,70,86,0,189,0,43,0,0,0,0,42,279,0,0,0,28,0,37,0,0,0,0,0,0,0,0,0,0,180,135,0,0,0,16,144,0,0,346,0,0,44,0,0,0,0,0,0
"Neocalanus gracilis.dabec5c8e3721be348236817cddd3c31eb1647ce",126,97,88,39,60,0,0,0,41,0,0,0,0,0,0,0,0,282,1156,2333,6094,37,47,0,0,5406,303,0,0,282,907,0,0,0,0,0,0,0,0,0,0,0,0,0,276,290,0,0,0,0,0,0,0,0
".e01f93ca2ee277a2bc78e4f8f0e3ee68b98bf1fc",218,155,155,104,168,144,85,96,128,0,0,0,29,5,19,0,0,1,10,0,21,0,3,11,15,6,40,17,74,18,167,196,615,12,200,207,172,30,47,10,58,0,59,8,0,0,0,0,0,37,88,52,33,0
"NA.e09b485dd4d1bd133e7845d395237f38d661eb69",14919,12507,9252,4325,4936,5908,2399,2741,5695,0,0,0,0,0,0,0,0,0,13,0,0,476,561,0,60,228,1726,0,0,84,193,3382,13002,0,0,0,0,0,0,0,0,0,0,0,0,0,156,0,100,0,2467,0,0,0
"Metridia pacifica.e199318c40876066960330bd9ea208fb7639a760",4324,3835,3851,2978,3691,3589,2774,3295,2768,0,412,70,1136,284,1082,57,280,0,44,0,14,497,898,44,89,51,245,76,177,107,1043,133,252,103,2323,2744,2256,74,127,196,1509,85,951,264,0,0,561,0,0,170,0,948,83,146
"Neocalanus cristatus.e396f514beb6bb0e29a828575cc7fea775d24085",259,217,217,152,154,141,100,103,126,0,0,0,24,4,0,0,0,0,205,0,89,114,124,90,378,170,64,24,144,139,597,9,10,0,14,75,72,8,14,2,17,0,117,7,0,0,0,116,0,0,3,13,8,0
"Neocalanus gracilis.f439140f389fcafab48955b2d982492c4de5820f",30,0,16,0,25,27,0,0,20,0,0,0,0,0,0,0,0,82,494,349,660,45,60,0,0,1110,151,0,0,24,417,0,0,0,0,0,0,0,0,0,0,0,0,0,378,93,50,0,0,0,0,0,0,0
"Clausocalanus furcatus.f8a30baa160074c5d81f39bbfa5ce59111caa57a",170,205,211,165,155,199,128,87,110,0,0,0,0,0,0,0,0,76,111,0,66,39,0,27,0,63,114,19,32,0,119,0,0,0,0,44,35,0,0,0,0,0,573,0,112,0,0,0,0,0,0,0,0,0
"Pleuromamma.fa7356df1a872486053eb1a14ff614012cdadde9",218,207,156,61,38,49,11,7,15,0,25,0,30,0,26,0,0,103,474,33,187,42,74,1281,4365,59,131,7,21,294,851,0,0,0,0,15,23,0,0,0,0,5,139,0,175,0,12,1313,0,7,0,0,0,0
".ff62c6fc3f5f5a03af66155247b74210ad634523",189,163,183,97,173,104,88,113,121,0,0,0,31,12,32,0,0,0,74,62,208,0,13,74,140,35,86,174,483,24,279,8,20,10,62,400,238,7,10,9,12,0,205,9,37,0,0,99,0,260,7,23,9,0
"Other",14624,12236,9849,5753,7021,6636,3377,3996,4572,6,358,23,490,79,560,284,4422,1397,8996,3350,9186,588,873,6559,22311,11431,8846,753,2105,1224,7792,713,2874,44,3533,3644,2752,490,2356,0,607,718,11643,3518,6154,450,2787,11637,0,1672,538,1033,1887,0
