"","X","coord","sample","p2.5","p25","p50","n_reads","p75","p97.5","cycle_num","size","replicate"
"53",53,"seq_1_Calanoida.Rhincalanus.1784e",NA,NA,NA,NA,0,NA,NA,30,"1-2mm","C1.T7.H9_S3.3"
"54",54,"seq_2_Calanoida.Rhincalanus.1c13e",NA,NA,NA,NA,0,NA,NA,30,"1-2mm","C1.T7.H9_S3.2"
"55",55,"seq_2_Calanoida.Rhincalanus.1c13e",NA,NA,NA,NA,0,NA,NA,30,"1-2mm","C1.T7.H9_S3.3"
"56",56,"seq_9_Euphausiacea..3907c",NA,NA,NA,NA,0,NA,NA,30,"1-2mm","C1.T7.H9_S3.2"
"57",57,"seq_9_Euphausiacea..3907c",NA,NA,NA,NA,0,NA,NA,30,"1-2mm","C1.T7.H9_S3.3"
"58",58,"seq_12_Calanoida..5153f",NA,NA,NA,NA,0,NA,NA,30,"1-2mm","C1.T7.H9_S3.3"
"59",59,"seq_3_Calanoida.Metridia pacifica.21ed1",1,0.0323879883698556,0.153992611983907,0.278627263148123,0.312630144250329,0.441767467750491,0.755260631493734,0,"1-2mm","predicted C1.T7.H9_S3"
"60",60,"seq_16_Calanoida.Metridia pacifica.6b976",1,0.0348262523062943,0.101531395982958,0.151444316768493,0.163710674372541,0.211547672160562,0.361150776680732,0,"1-2mm","predicted C1.T7.H9_S3"
"61",61,"seq_8_Calanoida.Metridia pacifica.3855b",1,0.010617834620894,0.0368742204841446,0.062847580996506,0.0780491487163109,0.102231962356426,0.235501873062436,0,"1-2mm","predicted C1.T7.H9_S3"
"62",62,"seq_15_Calanoida..6950a",1,0.0058917142695008,0.0251194141535253,0.0473651015361063,0.0632125512441264,0.0833334914364138,0.209328201584051,0,"1-2mm","predicted C1.T7.H9_S3"
"63",63,"seq_20_Calanoida.Metridia pacifica.97d59",1,0.00755831516640624,0.0248583627025534,0.0429544116826422,0.0518297019368927,0.0685995599671912,0.147069122185964,0,"1-2mm","predicted C1.T7.H9_S3"
"64",64,"seq_19_Calanoida.Calanus helgolandicus.894f7",1,0.00120460637223356,0.0078697766690349,0.019307729247842,0.0373929524553676,0.0442635005091367,0.187129005756975,0,"1-2mm","predicted C1.T7.H9_S3"
"65",65,"seq_13_Calanoida..562a6",1,0.000836215791197726,0.00661737241884376,0.0171022731755059,0.0325620681987152,0.040751202673533,0.153986871089404,0,"1-2mm","predicted C1.T7.H9_S3"
"66",66,"seq_10_Calanoida.Metridia pacifica.3a466",1,0.00100818895463248,0.00685083065315404,0.0165260840692452,0.0311625445139314,0.0373340811173078,0.14929896035499,0,"1-2mm","predicted C1.T7.H9_S3"
"67",67,"seq_5_Calanoida.Metridia pacifica.2cfd4",1,0.00295821643867793,0.0128320401261255,0.0238732158855053,0.0302562480641252,0.0411443262262278,0.0942580563583404,0,"1-2mm","predicted C1.T7.H9_S3"
"68",68,"seq_18_Calanoida.Calanus helgolandicus.78f54",1,0.000820333302418913,0.00621534696042192,0.0150936592709817,0.0262745116083308,0.0328841462608839,0.11652726253233,0,"1-2mm","predicted C1.T7.H9_S3"
"69",69,"seq_22_Calanoida.Pleuromamma.a32d2",1,0.00143859509513127,0.00812798630752955,0.0173642581397925,0.025842216834102,0.0344951102519719,0.0971642499407444,0,"1-2mm","predicted C1.T7.H9_S3"
