"","size_fraction","sample_id","dryweight_C_mg_sum","dryweight_C_ug_sum","sample_conc","potemp2","density2","oxy_sat","Sal2","NO2","nitracline_depth","NO3","fluorescence","hypoxia_depth","chl_max_depth","PO4","SIL","NH4","beam_depth","chl_max","mixedlayerdepths","intergrated_chl","day_night_0_1","distance_from_shore","PAR_1_depth_adj","cycle","Sample_ID_short","PC1","Longitude","Latitude","log10_dryweight_C_ug","dryweight_C_mg_m2"
"19","0.5-1","c1_t8_h10",0.797586897346908,797.586897346908,216.278762948282,14.52624375,25.12710625,73.9570625,33.7726125,0.293333333,5.056,6.879666667,3.06598125,117.599,33.74833333,0.619,4.617666667,0.519666667,8.4375,3.9444,39.60784898,93.982,0,57.2760461,30,"1","C1-T8-H10",4.157659552,-122.4958,36.11382,6.68159079091353,172.501107501947
"20","0.5-1","c2_t8_h18",1.156424081239,1156.424081239,81.9804731436366,15.59365,24.5697,64.668,33.34975,0.221166667,4.771,6.914333333,1.7352,127.517,14.88933333,0.475166667,5.279,0.129666667,14.889,8.5157,12.36120755,10.001,0,89.04467932,6,"2","C2-T8-H18",3.495869841,-123.0914,36.42905,7.05308783424135,94.8041933346684
"21","0.5-1","c2_t9_h19",0.880781727424045,880.781727424045,333.262919512919,15.85675,24.06715,69.2275,32.7728,0.3052,4.576,7.3326,1.59615,129.5,30.76966667,0.668,5.1062,0.433,26.8,4.107233333,18.6269982,11.23,1,107.295263,6,"2","C2-T9-H19",2.811058313,-123.226,36.46062,6.78080983976191,293.53188993497
"22","0.5-1","c3_t6_h25",0.748934213837035,748.934213837035,55.2033116592259,18.84853125,23.309125,79.10425,32.70948125,0.0165,114.277,-0.069,-0.00258125,349.6695,109.1806667,0.336,1.0475,-0.013,22.833,0.642766667,36.93443854,8.3977,0,772.3392208,103,"3","C3-T6-H25",-4.6044581,-130.477,34.56042,6.61865114766649,41.3436488187032
"23","0.5-1","c3_t7_h26",0.845620547509832,845.620547509832,74.7310807679116,18.9034875,23.2842875,72.4185,32.6949375,0.0215,109.923,-0.061,0.03025,361.5635,105.2116667,0.3,1.2055,-0.0135,22.834,0.657333333,34.44530282,0.053271,1,772.3906546,103,"3","C3-T7-H26",-4.437854817,-130.4595,34.52752,6.74007073358653,63.1941374349629
"24","0.5-1","ct1_t1_h28",2.32544569257186,2325.44569257186,1.53867369115766,17.38964375,23.8663625,65.336625,32.97244375,0.013,59.8,0.207,0.26435,361.5505,43.67766667,0.370333333,1.022333333,0.021666667,39.707,2.921366667,44.12433944,112.6,0,602.6631245,5,"T1","CT1-T1-H28",-2.054216937,-128.5755,34.96055,7.75166699538001,3.57810210737623
"25","0.5-1","ct1_t2_h29",1.62499285989732,1624.99285989732,1.99438938307239,18.16554375,23.51706875,68.402375,32.7602,0.0065,80.1,-0.06,0.0202625,312.9815,70.47466667,0.3345,1.135,0.0035,58.565,0.948566667,49.90714574,0.1229,1,524.1840843,11,"T1","CT1-T2-H29",-3.394650309,-127.5728,35.0498,7.39325870084485,3.24086850734766
"26","0.5-1","ct1_t3_h30",0.947015868557801,947.015868557801,48.3326116341262,18.16806875,23.51549375,70.3971875,32.75895,0.0085,94.339,-0.073,0.00883125,258.4555,78.41433333,0.3345,1.0805,0.007,73.452,1.302366667,47.52148287,24.685,1,450.7865706,86,"T1","CT1-T3-H30",-3.727302931,-126.6352,35.02288,6.85331584970651,45.7717501863589
"27","0.5-1","ct1_t4_h31",1.57873166873015,1578.73166873015,34.2129790839222,18.11386875,23.52309375,78.3553125,32.751575,0.01,81.135,-0.0975,0.04135,276.3005,58.56533333,0.331,0.9545,-0.0155,50.625,1.3489,43.3434391,39.938,0,353.6559397,84,"T1","CT1-T4-H31",-3.259153374,-125.5235,35.09508,7.36437706234164,54.01311356139
"28","0.5-1","ct1_t5_h32",0.890292599245695,890.292599245695,64.2348364715355,17.41111875,23.60625,81.763,32.63924375,0.032,60.184,0.115333333,0.1357875,295.1365,44.66966667,0.364,1.203666667,0.021333333,40.7,2.300733333,40.373965,105.72,0,287.1546375,5,"T1","CT1-T5-H32",-2.057413352,-124.7213,35.11383,6.79155017189282,57.1877995243656
"29","0.5-1","ct1_t6_h33",1.82586993492614,1825.86993492614,58.7794998864489,17.67494737,23.63878421,73.37931422,32.76398421,0.004,89.237,-0.021333333,0.0678,286.213,55.58733333,0.339,1.184,0.008,47.647,1.4834,43.86420492,44.366,1,220.3050539,78,"T1","CT1-T6-H33",-2.808803596,-123.8861,35.15777,7.50981182911421,107.323721632661
"30","0.5-1","ct1_t7_h34",2.63634602786267,2636.34602786267,127.302532318008,16.22978889,24.64262778,71.93337769,33.63152222,0.18025,5.198,4.7105,0.991344444,272.3325,44.66933333,0.55525,2.63575,0.1955,8.935,1.644233333,49.89389011,61.179,1,164.3233095,55,"T1","CT1-T7-H34",1.021747674,-123.1012,35.20463,7.87714915706136,335.613525413439
"31","0.5-1","ct1_t8_h35",0.344523686415432,344.523686415432,68.1540777253012,16.601525,24.4496125,62.516375,33.49135,0.13575,34.766,1.831,1.00973125,211.846,24.81766667,0.41225,2.2655,0.52375,19.854,1.631833333,30.76237143,8.3863,0,119.4843272,10,"T1","CT1-T8-H35",1.240985634,-122.3004,35.1785,5.84216284401301,23.4806941021647
"32","0.5-1","ct2_t1_h36",0.362696187034742,362.696187034742,485.176271401698,15.831225,24.523775,70.634,33.3592625,0.188328994,24.13100104,6.475130769,2.00485,144.391,19.85366667,0.649509372,5.675964988,0.23236203,17.868,2.443066667,23.89114571,68.88,1,395.8283457,60,"T2","CT2-T1-H36",2.177361041,-121.6069,35.56327,5.89356553350887,175.971583677129
"33","0.5-1","ct2_t4_h39",0.68046904288916,680.46904288916,222.982318493823,16.11135,24.6348375,81.589375,33.58603125,0.180388032,26.97258367,6.151914118,1.3498,244.565,19.854,0.633395467,5.435990441,0.222955797,13.898,2.579066667,32.90561905,46.21,1,41.86359276,45,"T2","CT2-T4-H39",1.910761547,-121.2592,35.13105,6.52278232934353,151.732564846697
"34","0.5-1","ct2_t8_h43",2.05062586417652,2050.62586417652,249.979847958639,15.68699375,25.07190625,77.0835625,34.03350625,0.211496484,5.491,7.418104457,1.07124375,161.261,14.891,0.696521147,6.376082642,0.259804398,9.927,1.530533333,40.83314211,43.725,1,52.40822911,47,"T2","CT2-T8-H43",2.955154777,-120.8298,34.54325,7.62590032513632,512.615141746899
"35","1-2","c1_t7_h9",0.369189247920012,369.189247920012,47.4098277608916,13.6354125,25.27231875,68.65825,33.72105625,0.271166667,4.793,17.5485,4.377575,127.52,14.88966667,1.386,16.9485,0.108,10.919,4.7989,34.31751471,43.229,1,54.45089622,30,"1","C1-T7-H9",6.573255037,-122.4661,36.18643,5.9113093795611,17.5031986550609
"36","1-2","c1_t8_h10",1.79457151480952,1794.57151480952,135.670629370629,14.52624375,25.12710625,73.9570625,33.7726125,0.293333333,5.056,6.879666667,3.06598125,117.599,33.74833333,0.619,4.617666667,0.519666667,8.4375,3.9444,39.60784898,93.982,0,57.2760461,30,"1","C1-T8-H10",4.157659552,-122.4958,36.11382,7.49252156201399,243.470646864812
"37","1-2","c2_t8_h18",1.77627671823418,1776.27671823418,53.7674257425743,15.59365,24.5697,64.668,33.34975,0.221166667,4.771,6.914333333,1.7352,127.517,14.88933333,0.475166667,5.279,0.129666667,14.889,8.5157,12.36120755,10.001,0,89.04467932,6,"2","C2-T8-H18",3.495869841,-123.0914,36.42905,7.48227472123157,95.5058265459196
"38","1-2","c2_t9_h19",1.5261985717582,1526.1985717582,64.0419501133787,15.85675,24.06715,69.2275,32.7728,0.3052,4.576,7.3326,1.59615,129.5,30.76966667,0.668,5.1062,0.433,26.8,4.107233333,18.6269982,11.23,1,107.295263,6,"2","C2-T9-H19",2.811058313,-123.226,36.46062,7.33053532903947,97.7407327956481
"39","1-2","c3_t6_h25",1.36034464349211,1360.34464349211,17.6127128382966,18.84853125,23.309125,79.10425,32.70948125,0.0165,114.277,-0.069,-0.00258125,349.6695,109.1806667,0.336,1.0475,-0.013,22.833,0.642766667,36.93443854,8.3977,0,772.3392208,103,"3","C3-T6-H25",-4.6044581,-130.477,34.56042,7.21549336095854,23.9593595669415
"40","1-2","c3_t7_h26",1.16312464943614,1163.12464943614,36.7838881318539,18.9034875,23.2842875,72.4185,32.6949375,0.0215,109.923,-0.061,0.03025,361.5635,105.2116667,0.3,1.2055,-0.0135,22.834,0.657333333,34.44530282,0.053271,1,772.3906546,103,"3","C3-T7-H26",-4.437854817,-130.4595,34.52752,7.05886532599821,42.7842469882609
"41","1-2","ct1_t1_h28",2.79305720111353,2793.05720111353,1.14215125216225,17.38964375,23.8663625,65.336625,32.97244375,0.013,59.8,0.207,0.26435,361.5505,43.67766667,0.370333333,1.022333333,0.021666667,39.707,2.921366667,44.12433944,112.6,0,602.6631245,5,"T1","CT1-T1-H28",-2.054216937,-128.5755,34.96055,7.934892045905,3.19009377961262
"42","1-2","ct1_t2_h29",1.00391352524924,1003.91352524924,0.949348666209904,18.16554375,23.51706875,68.402375,32.7602,0.0065,80.1,-0.06,0.0202625,312.9815,70.47466667,0.3345,1.135,0.0035,58.565,0.948566667,49.90714574,0.1229,1,524.1840843,11,"T1","CT1-T2-H29",-3.394650309,-127.5728,35.0498,6.91166116631241,0.953063966185451
"43","1-2","ct1_t3_h30",0.00618567258952279,6.18567258952279,28.6645884840016,18.16806875,23.51549375,70.3971875,32.75895,0.0085,94.339,-0.073,0.00883125,258.4555,78.41433333,0.3345,1.0805,0.007,73.452,1.302366667,47.52148287,24.685,1,450.7865706,86,"T1","CT1-T3-H30",-3.727302931,-126.6352,35.02288,1.82223574520661,0.177309759275439
"44","1-2","ct1_t4_h31",0.274592556893946,274.592556893946,24.500991174006,18.11386875,23.52309375,78.3553125,32.751575,0.01,81.135,-0.0975,0.04135,276.3005,58.56533333,0.331,0.9545,-0.0155,50.625,1.3489,43.3434391,39.938,0,353.6559397,84,"T1","CT1-T4-H31",-3.259153374,-125.5235,35.09508,5.61528838770048,6.72778981290633
"45","1-2","ct1_t5_h32",0.490388768133336,490.388768133336,64.2348364715355,17.41111875,23.60625,81.763,32.63924375,0.032,60.184,0.115333333,0.1357875,295.1365,44.66966667,0.364,1.203666667,0.021333333,40.7,2.300733333,40.373965,105.72,0,287.1546375,5,"T1","CT1-T5-H32",-2.057413352,-124.7213,35.11383,6.19519848087957,31.5000423285226
"46","1-2","ct1_t6_h33",0.792751831649201,792.751831649201,37.652595822984,17.67494737,23.63878421,73.37931422,32.76398421,0.004,89.237,-0.021333333,0.0678,286.213,55.58733333,0.339,1.184,0.008,47.647,1.4834,43.86420492,44.366,1,220.3050539,78,"T1","CT1-T6-H33",-2.808803596,-123.8861,35.15777,6.6755102239162,29.8491643050176
"47","1-2","ct1_t7_h34",3.38426580631493,3384.26580631493,54.5956609492646,16.22978889,24.64262778,71.93337769,33.63152222,0.18025,5.198,4.7105,0.991344444,272.3325,44.66933333,0.55525,2.63575,0.1955,8.935,1.644233333,49.89389011,61.179,1,164.3233095,55,"T1","CT1-T7-H34",1.021747674,-123.1012,35.20463,8.12689226560679,184.76622852376
"48","1-2","ct1_t8_h35",0.561845168611347,561.845168611347,108.791827773721,16.601525,24.4496125,62.516375,33.49135,0.13575,34.766,1.831,1.00973125,211.846,24.81766667,0.41225,2.2655,0.52375,19.854,1.631833333,30.76237143,8.3863,0,119.4843272,10,"T1","CT1-T8-H35",1.240985634,-122.3004,35.1785,6.33122631124485,61.1241628190627
"49","1-2","ct2_t1_h36",0.494421098784484,494.421098784484,136.330522542626,15.831225,24.523775,70.634,33.3592625,0.188328994,24.13100104,6.475130769,2.00485,144.391,19.85366667,0.649509372,5.675964988,0.23236203,17.868,2.443066667,23.89114571,68.88,1,395.8283457,60,"T2","CT2-T1-H36",2.177361041,-121.6069,35.56327,6.20338758076787,67.404686753388
"50","1-2","ct2_t4_h39",1.62765612612562,1627.65612612561,73.2595680458428,16.11135,24.6348375,81.589375,33.58603125,0.180388032,26.97258367,6.151914118,1.3498,244.565,19.854,0.633395467,5.435990441,0.222955797,13.898,2.579066667,32.90561905,46.21,1,41.86359276,45,"T2","CT2-T4-H39",1.910761547,-121.2592,35.13105,7.39489629951283,119.241384727132
"51","1-2","ct2_t8_h43",4.7620109325774,4762.0109325774,141.059789436464,15.68699375,25.07190625,77.0835625,34.03350625,0.211496484,5.491,7.418104457,1.07124375,161.261,14.891,0.696521147,6.376082642,0.259804398,9.927,1.530533333,40.83314211,43.725,1,52.40822911,47,"T2","CT2-T8-H43",2.955154777,-120.8298,34.54325,8.46842532283951,671.728259443507
"52",">2","c1_t7_h9",0.270042368121569,270.042368121569,43.2872340425532,13.6354125,25.27231875,68.65825,33.72105625,0.271166667,4.793,17.5485,4.377575,127.52,14.88966667,1.386,16.9485,0.108,10.919,4.7989,34.31751471,43.229,1,54.45089622,30,"1","C1-T7-H9",6.573255037,-122.4661,36.18643,5.59857886565666,11.6893871902837
"53",">2","c1_t8_h10",0.719713318425251,719.713318425251,124.635219326128,14.52624375,25.12710625,73.9570625,33.7726125,0.293333333,5.056,6.879666667,3.06598125,117.599,33.74833333,0.619,4.617666667,0.519666667,8.4375,3.9444,39.60784898,93.982,0,57.2760461,30,"1","C1-T8-H10",4.157659552,-122.4958,36.11382,6.57885296386602,89.7016272938669
"54",">2","c2_t8_h18",1.19661553287695,1196.61553287695,41.9020833333333,15.59365,24.5697,64.668,33.34975,0.221166667,4.771,6.914333333,1.7352,127.517,14.88933333,0.475166667,5.279,0.129666667,14.889,8.5157,12.36120755,10.001,0,89.04467932,6,"2","C2-T8-H18",3.495869841,-123.0914,36.42905,7.08725246171486,50.1406837765708
"55",">2","c2_t9_h19",0.347800905157547,347.800905157547,17.2420634920635,15.85675,24.06715,69.2275,32.7728,0.3052,4.576,7.3326,1.59615,129.5,30.76966667,0.668,5.1062,0.433,26.8,4.107233333,18.6269982,11.23,1,107.295263,6,"2","C2-T9-H19",2.811058313,-123.226,36.46062,5.85163020443993,5.99680528932358
"56",">2","c3_t6_h25",1.53173646734317,1531.73646734317,10.4250146435586,18.84853125,23.309125,79.10425,32.70948125,0.0165,114.277,-0.069,-0.00258125,349.6695,109.1806667,0.336,1.0475,-0.013,22.833,0.642766667,36.93443854,8.3977,0,772.3392208,103,"3","C3-T6-H25",-4.6044581,-130.477,34.56042,7.33415731679812,15.9683751021252
"57",">2","c3_t7_h26",0.87901705454275,879.01705454275,7.68879371877231,18.9034875,23.2842875,72.4185,32.6949375,0.0215,109.923,-0.061,0.03025,361.5635,105.2116667,0.3,1.2055,-0.0135,22.834,0.657333333,34.44530282,0.053271,1,772.3906546,103,"3","C3-T7-H26",-4.437854817,-130.4595,34.52752,6.77880429970714,6.75858080766203
"58",">2","ct1_t1_h28",0.737743477966231,737.743477966231,0.934379152200934,17.38964375,23.8663625,65.336625,32.97244375,0.013,59.8,0.207,0.26435,361.5505,43.67766667,0.370333333,1.022333333,0.021666667,39.707,2.921366667,44.12433944,112.6,0,602.6631245,5,"T1","CT1-T1-H28",-2.054216937,-128.5755,34.96055,6.60359617334511,0.689332125483855
"59",">2","ct1_t2_h29",0.600363162972543,600.363162972543,0.618243642546073,18.16554375,23.51706875,68.402375,32.7602,0.0065,80.1,-0.06,0.0202625,312.9815,70.47466667,0.3345,1.135,0.0035,58.565,0.948566667,49.90714574,0.1229,1,524.1840843,11,"T1","CT1-T2-H29",-3.394650309,-127.5728,35.0498,6.39753474373406,0.371170708726627
"60",">2","ct1_t5_h32",0.317132951838591,317.132951838591,64.2348364715355,17.41111875,23.60625,81.763,32.63924375,0.032,60.184,0.115333333,0.1357875,295.1365,44.66966667,0.364,1.203666667,0.021333333,40.7,2.300733333,40.373965,105.72,0,287.1546375,5,"T1","CT1-T5-H32",-2.057413352,-124.7213,35.11383,5.75932109238187,20.3709833010872
"61",">2","ct1_t6_h33",0.0721362797618419,72.1362797618419,55.0691042703703,17.67494737,23.63878421,73.37931422,32.76398421,0.004,89.237,-0.021333333,0.0678,286.213,55.58733333,0.339,1.184,0.008,47.647,1.4834,43.86420492,44.366,1,220.3050539,78,"T1","CT1-T6-H33",-2.808803596,-123.8861,35.15777,4.27855710444563,3.97248031188147
"62",">2","ct1_t7_h34",0.201225988934755,201.225988934755,31.3908137304322,16.22978889,24.64262778,71.93337769,33.63152222,0.18025,5.198,4.7105,0.991344444,272.3325,44.66933333,0.55525,2.63575,0.1955,8.935,1.644233333,49.89389011,61.179,1,164.3233095,55,"T1","CT1-T7-H34",1.021747674,-123.1012,35.20463,5.30442859953974,6.31664753637291
"63",">2","ct1_t8_h35",0.356809572127078,356.809572127078,116.675293554425,16.601525,24.4496125,62.516375,33.49135,0.13575,34.766,1.831,1.00973125,211.846,24.81766667,0.41225,2.2655,0.52375,19.854,1.631833333,30.76237143,8.3863,0,119.4843272,10,"T1","CT1-T8-H35",1.240985634,-122.3004,35.1785,5.87720222805642,41.6308615709556
"64",">2","ct2_t1_h36",0.160689333136647,160.689333136647,66.1604006456861,15.831225,24.523775,70.634,33.3592625,0.188328994,24.13100104,6.475130769,2.00485,144.391,19.85366667,0.649509372,5.675964988,0.23236203,17.868,2.443066667,23.89114571,68.88,1,395.8283457,60,"T2","CT2-T1-H36",2.177361041,-121.6069,35.56327,5.07947289304597,10.6312706598087
"65",">2","ct2_t4_h39",0.150299319308573,150.299319308573,37.4464349989626,16.11135,24.6348375,81.589375,33.58603125,0.180388032,26.97258367,6.151914118,1.3498,244.565,19.854,0.633395467,5.435990441,0.222955797,13.898,2.579066667,32.90561905,46.21,1,41.86359276,45,"T2","CT2-T4-H39",1.910761547,-121.2592,35.13105,5.01262876786359,5.62817369087679
"66",">2","ct2_t8_h43",0.390876455806123,390.876455806123,109.730608198221,15.68699375,25.07190625,77.0835625,34.03350625,0.211496484,5.491,7.418104457,1.07124375,161.261,14.891,0.696521147,6.376082642,0.259804398,9.927,1.530533333,40.83314211,43.725,1,52.40822911,47,"T2","CT2-T8-H43",2.955154777,-120.8298,34.54325,5.96839154025108,42.891111225971
