"","Phylum","Class","Order","Family","Genus"
"68","Arthropoda","Hexanauplia","Calanoida","Clausocalanidae","Ctenocalanus"
"70","Annelida","Polychaeta","Terebellida","Flabelligeridae","Poeobius"
"71","Mollusca","Gastropoda","Pteropoda","Limacinidae","Limacina"
"72","Mollusca","Bivalvia","Myida","Hiatellidae","Hiatella"
"73","Arthropoda","Hexanauplia","Calanoida","Candaciidae","Candacia"
"77","Mollusca","Gastropoda","Pteropoda","Clionidae","Clione"
"78","Annelida","Polychaeta","other","Paraonidae","Aricidea"
"79","Arthropoda","Malacostraca","Amphipoda","Uristidae","Abyssorchomene"
"80","Cnidaria","Hydrozoa","Trachymedusae","Rhopalonematidae","Rhopalonema"
"81","Cnidaria","Hydrozoa","Siphonophorae","Agalmatidae","Nanomia"
"83","Mollusca","Gastropoda","Littorinimorpha","Vermetidae","Thylacodes"
"84","Mollusca","Gastropoda","Littorinimorpha","Velutinidae","Hainotis"
"85","Arthropoda","Hexanauplia","Calanoida","Metridinidae","Pleuromamma"
"86","Arthropoda","Ostracoda","Halocyprida","Halocyprididae","Conchoecetta"
"87","Arthropoda","Malacostraca","Amphipoda","Paraphronimidae","Paraphronima"
"88","Arthropoda","Hexanauplia","Calanoida","Euchaetidae","Euchaeta"
"90","Mollusca","Bivalvia","Myida","Hiatellidae","Panopea"
"91","Annelida","Polychaeta","Spionida","Spionidae","Laonice"
"92","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Lacinutrix"
"93","Arthropoda","Malacostraca","Amphipoda","Eurytheneidae","Eurythenes"
"95","Cnidaria","Scyphozoa","Semaeostomeae","Phacellophoridae","Phacellophora"
"96","Chlorophyta","Chloropicophyceae","Chloropicales","Chloropicaceae","Chloropicon"
"97","Arthropoda","Hexanauplia","Calanoida","Eucalanidae","Eucalanus"
"98","Chaetognatha","Sagittoidea","Aphragmophora","Sagittidae","Pseudosagitta"
"99","Arthropoda","Malacostraca","Euphausiacea","Euphausiidae","Thysanopoda"
"100","Bacillariophyta","Coscinodiscophyceae","Thalassiosirales","Stephanodiscaceae","Cyclotella"
"102","Arthropoda","Hexanauplia","Calanoida","Heterorhabdidae","Heterorhabdus"
"103","Annelida","Polychaeta","Phyllodocida","Polynoidae","Lepidasthenia"
"104","Chordata","Aves","Procellariiformes","Procellariidae","Ardenna"
"105","Mollusca","Gastropoda","Nudibranchia","Glaucidae","Hermissenda"
"106","Arthropoda","Ostracoda","Halocyprida","Halocyprididae","Porroecia"
"107","Chordata","Actinopteri","Anguilliformes","Nemichthyidae","Nemichthys"
"108","Annelida","Polychaeta","other","Chaetopteridae","Spiochaetopterus"
"109","Mollusca","Gastropoda","Pteropoda","Limacinidae","Heliconoides"
"110","Chaetognatha","Sagittoidea","Aphragmophora","Sagittidae","Sagitta"
"111","Arthropoda","Ostracoda","Halocyprida","Halocyprididae","Mikroconchoecia"
"112","Arthropoda","Hexanauplia","Calanoida","unidentified Calanoida","unidentified Calanoida"
"113","Arthropoda","Malacostraca","Euphausiacea","Euphausiidae","Nematoscelis"
"114","other","Pelagophyceae","Pelagomonadales","other","Pelagomonas"
"115","Arthropoda","Insecta","Diptera","Agromyzidae","Aulagromyza"
"116","Arthropoda","Hexanauplia","Calanoida","Eucalanidae","Rhincalanus"
"117","Arthropoda","Malacostraca","Euphausiacea","Euphausiidae","Thysanoessa"
"119","Arthropoda","Malacostraca","Euphausiacea","Euphausiidae","Euphausia"
"120","Cnidaria","Hydrozoa","Trachymedusae","Rhopalonematidae","Pantachogon"
"121","Arthropoda","Hexanauplia","Poecilostomatoida","Oncaeidae","Triconia"
"122","Arthropoda","Ostracoda","Halocyprida","Halocyprididae","Proceroecia"
"123","Cnidaria","Hydrozoa","Siphonophorae","Prayidae","Rosacea"
"124","Arthropoda","Insecta","Diptera","Mycetophilidae","Brevicornu"
"125","Annelida","Polychaeta","other","Chaetopteridae","Phyllochaetopterus"
"126","Chlorophyta","Chloropicophyceae","Chloropicales","Chloropicaceae","Chloroparvula"
"127","Cnidaria","Hydrozoa","Siphonophorae","Apolemiidae","Apolemia"
"128","Arthropoda","Hexanauplia","Calanoida","Metridinidae","Metridia"
"129","other","Dinophyceae","Syndiniales","Syndiniaceae","Hematodinium"
"130","Arthropoda","Hexanauplia","Calanoida","Scolecitrichidae","Scolecithricella"
"131","Arthropoda","Insecta","Coleoptera","Scarabaeidae","Onthophagus"
"133","Annelida","Polychaeta","Phyllodocida","Phyllodocidae","Phyllodoce"
"134","Arthropoda","Hexanauplia","Calanoida","Paracalanidae","Mecynocera"
"137","Arthropoda","Ostracoda","Halocyprida","Halocyprididae","Conchoecia"
"139","Arthropoda","Hexanauplia","Cyclopoida","Sapphirinidae","Genus"
"140","Arthropoda","Hexanauplia","Harpacticoida","Peltidiidae","Goniopsyllus"
"141","Echinodermata","Echinoidea","Echinoida","Strongylocentrotidae","Strongylocentrotus"
"143","Arthropoda","Hexanauplia","Cyclopoida","Corycaeidae","Ditrichocorycaeus"
"146","Mollusca","Bivalvia","Mytiloida","Mytilidae","Modiolus"
"147","Arthropoda","Branchiopoda","Diplostraca","Podonidae","Evadne"
"148","Arthropoda","Malacostraca","Decapoda","Benthesicymidae","Gennadas"
"149","Bryozoa","Gymnolaemata","Cheilostomatida","Membraniporidae","Membranipora"
"150","Arthropoda","Hexanauplia","Cyclopoida","Oithonidae","Oithona"
"151","Annelida","Polychaeta","Phyllodocida","Sigalionidae","Sthenelanella"
"152","Mollusca","Gastropoda","Littorinimorpha","Atlantidae","Atlanta"
"153","Echinodermata","Ophiuroidea","Amphilepidida","Ophiocomidae","Breviturma"
"157","Chordata","Actinopteri","Argentiniformes","Bathylagidae","Bathylagoides"
"160","Chordata","Actinopteri","Pleuronectiformes","Cyclopsettidae","Citharichthys"
"164","Ctenophora","Tentaculata","Cydippida","Mertensiidae","Charistephane"
"167","Arthropoda","Insecta","Hemiptera","Hormaphididae","Aleurodaphis"
"172","Arthropoda","Malacostraca","Amphipoda","Phronimidae","Phronima"
"176","Chordata","Mammalia","Diprotodontia","Macropodidae","Osphranter"
"177","Arthropoda","Hexanauplia","Calanoida","Lucicutiidae","Lucicutia"
"182","Cnidaria","Hydrozoa","Siphonophorae","Forskaliidae","Forskalia"
"185","Arthropoda","Hexanauplia","Poecilostomatoida","Sapphirinidae","Sapphirina"
"190","Chordata","Actinopteri","Scombriformes","Tetragonuridae","Tetragonurus"
"192","Chordata","Actinopteri","Stomiiformes","Stomiidae","Tactostoma"
"198","Chordata","Actinopteri","Stomiiformes","Sternoptychidae","Argyropelecus"
"201","Arthropoda","Malacostraca","Euphausiacea","Euphausiidae","Stylocheiron"
"202","Platyhelminthes","Class","Polycladida","Notocomplanidae","Notocomplana"
"204","Arthropoda","Hexanauplia","Pedunculata","Lepadidae","Dosima"
"205","Annelida","Polychaeta","Phyllodocida","Tomopteridae","Genus"
"220","Arthropoda","Malacostraca","Decapoda","Epialtidae","Pugettia"
"229","Chordata","Mammalia","Primates","Hominidae","Homo"
"231","Arthropoda","Malacostraca","Amphipoda","Hyperiidae","Themisto"
"236","Arthropoda","Hexanauplia","Calanoida","Paracalanidae","Calocalanus"
"245","Arthropoda","Hexanauplia","Calanoida","Scolecitrichidae","Lophothrix"
"246","Arthropoda","Malacostraca","Euphausiacea","Euphausiidae","Nematobrachion"
"248","Arthropoda","Hexanauplia","Calanoida","Pontellidae","Labidocera"
"251","Chordata","Actinopteri","Myctophiformes","Myctophidae","Symbolophorus"
"253","Mollusca","Gastropoda","Neogastropoda","Columbellidae","Amphissa"
"259","Arthropoda","Arachnida","Araneae","Zodariidae","Zodarion"
"261","Oomycota","other","Peronosporales","Peronosporaceae","Phytophthora"
"264","Arthropoda","Malacostraca","Decapoda","Sergestidae","Eusergestes"
"284","Sipuncula","other","Golfingiida","Sipunculidae","Sipunculus"
"288","Haptista","Haptophyta","Isochrysidales","Noelaerhabdaceae","Emiliania"
"289","Arthropoda","Ostracoda","Halocyprida","Halocyprididae","Halocypria"
"290","Mollusca","Cephalopoda","Teuthida","Octopoteuthidae","Octopoteuthis"
"291","Arthropoda","Insecta","Diptera","Phoridae","Megaselia"
"294","Arthropoda","Insecta","Lepidoptera","Pyralidae","Heteromicta"
"312","Chordata","Actinopteri","Myctophiformes","Myctophidae","Tarletonbeania"
"330","Arthropoda","Malacostraca","Decapoda","Sergestidae","Allosergestes"
"331","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium"
"332","Firmicutes","Bacilli","Bacillales","Bacillaceae","Alkalihalobacillus"
"334","Arthropoda","Hexanauplia","Siphonostomatoida","Caligidae","Paralebion"
"340","Arthropoda","Malacostraca","Decapoda","Pandalidae","Heterocarpus"
"365","Arthropoda","Malacostraca","Decapoda","Hippolytidae","Eualus"
"368","Arthropoda","Malacostraca","Decapoda","Oplophoridae","Acanthephyra"
"370","other","Pelagophyceae","Pelagomonadales","other","Aureococcus"
"388","Cnidaria","Hydrozoa","Siphonophorae","Prayidae","Amphicaryon"
"395","Arthropoda","Malacostraca","Amphipoda","Phrosinidae","Primno"
"400","Echinodermata","Ophiuroidea","Amphilepidida","Ophiactidae","Ophiopholis"
"410","Arthropoda","Ostracoda","Halocyprida","Halocyprididae","Halocypris"
