Hash,C1.T7.H9_S1,C1.T7.H9_S2,C1.T7.H9_S3,C1.T8.H10_S1,C1.T8.H10_S2,C1.T8.H10_S3,C2.T8.H18_S1,C2.T8.H18_S2,C2.T8.H18_S3,C2.T9.H19_S1,C2.T9.H19_S2,C2.T9.H19_S3,C3.T6.H25_S1,C3.T6.H25_S2,C3.T6.H25_S3,C3.T7.H26_S1,C3.T7.H26_S2,C3.T7.H26_S3,CT1.T1.H28_S1,CT1.T1.H28_S2,CT1.T1.H28_S3,CT1.T2.H29_S1,CT1.T2.H29_S2,CT1.T2.H29_S3,CT1.T3.H30_S1,CT1.T3.H30_S2,CT1.T3.H30_S3,CT1.T4.H31_S1,CT1.T4.H31_S2,CT1.T4.H31_S3,CT1.T5.H32_S1,CT1.T5.H32_S2,CT1.T5.H32_S3,CT1.T6.H33_S1,CT1.T6.H33_S2,CT1.T6.H33_S3,CT1.T7.H34_S1,CT1.T7.H34_S2,CT1.T7.H34_S3,CT1.T8.H35_S1,CT1.T8.H35_S2,CT1.T8.H35_S3,CT2.T1.H36_S1,CT2.T1.H36_S2,CT2.T1.H36_S3,CT2.T4.H39_S1,CT2.T4.H39_S2,CT2.T4.H39_S3,CT2.T8.H43_S1,CT2.T8.H43_S2,CT2.T8.H43_S3
17e50c361d0ee3dca50193093804268e84b42a6b,0,0,0,0,0,0,0,0,0,,0,0,0,129,,0,0,0,63,28,0,0,114,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3efc3bd932f5238a77694e73a5d01279ca415438,0,0,0,0,0,0,0,0,0,,0,0,0,8,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49ac039933a1583c1922b06dd6145664ca181520,0,0,0,0,0,0,0,0,0,,0,0,0,28,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
191852591b4d2d43f118faeb01e4a8b3fe27ec16,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,344,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21c949c0c188bc6789316060dfb81b96dbec6ca3,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,94,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2b772aaf91f3f938fb8ca5a6ccfc7e2a268e6215,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,186,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45e167fcacbae88a34c6e2c5bce557a37be05197,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,17,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63a67452ff11ce8b5eb5bdd75752091993c6cb39,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,105,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72a4f10d511377831e9d2ccd90b92d1bbe1eb9b1,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,439,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
771b5b72163868a0301d409973a520d9d7e7f524,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,274,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8448c4cb63086d593efe9ffcd3c2493d94efa525,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,22,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ca70d50751542d35659403dc72f03416412d82f8,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,811,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4cf7b276e564c3a8c32f42bb4888dbb65da1c5a3,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,7,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b6c961a9401217228e05daac6464e2e04816758a,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,8,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1455e0bca8ae9df317b44f49414f6feb807c710f,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,16,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90e55f27b71a87af18e2ab9f75e6b1b232ee7d4e,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,27,0,0,171,5,0,66,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a960178b9e4035b813caaa76ade3be5b79cfd29a,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,15,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
feeb90bb04364ba5b51a37580aec515fb01bb024,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,178,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0a19cb3e89d835f71f2511817816e72a13f12504,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,209,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
248c3d8841ec5d3f7fef663348c830c67d885b6a,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4047a9b6d9c19a9652943c6792c437c6c6204360,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,142,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bd215e9a545800058c1d37bdb961dda33ef0a4f2,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,14,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
e1915f8d623e9360aa5ce6d088b4ed9bb305b964,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,29,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08aba8adcabf8153dbb260a8c1e09d9e6383bb87,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,64,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38c51aa2f86cc14ce0f051e24b4841b9f19ecd3a,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,95,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73bd7d5ad6cda9482d2f2531e0f296172e268d8b,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,63,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bcee65e78d97be5d4e11196b1ecf02487533304c,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,5,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1dab2f7ad7e9b19ff2bdc48b66844f7080e59bdc,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,20,0,0,,65,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0
20b5ec6872a4b64c8d4204a9c4e735609e284ab6,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,11,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23f0bc9737e8f27bb71ae8a965978f4bf4ea9422,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,46,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3eb5edaf071a836479ebc8aeeb20b961ef4b4d79,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,17,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9d1ba6c6f13dba89b24a4f2a894ef64fc9599a40,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,15,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ae87fd2b2c9130d4d9c056b3621e0a28643023dc,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,8,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
