Sample_name,Locus,Hash,nReads
C3-T7-H26_S1.1,Leray,03fba41d417e1684ad60fd40ed312faa7e70c867,25
C3-T7-H26_S1.1,Leray,ba73b7a541ff7c6df1b833dc7aaba7a580962fea,127
C3-T7-H26_S1.1,Leray,e22df8bdeb248b8c4e7151bf1ececa229c367ccc,115
C3-T7-H26_S1.1,Leray,0c92aaaa1c9d729bf02e8965834822eb3e5b3f92,58
C3-T7-H26_S1.1,Leray,7bf663b8d1a5cb4178b70e102dafa80dc1babef1,88
C3-T7-H26_S1.1,Leray,1dcce8360826b98c802d159442bdd5a344727f31,51
C3-T7-H26_S1.1,Leray,6f2071c01574dc8eb3a01f1679a4b987e7bcaa61,85
C3-T7-H26_S1.1,Leray,6f22faeac3237d138475fba8a20fb7184daa1c7e,81
C3-T7-H26_S1.1,Leray,4905e2a7faede7a220c070fe2443b67ae4307d85,36
C3-T7-H26_S1.1,Leray,b7a3e645e301d69baa4a001ae0304d2120356a6c,7
C3-T7-H26_S1.1,Leray,7ea530faa9dca3612f830069efdf745a8bf904bc,124
C3-T7-H26_S1.1,Leray,597656c7e92b7ef6e1d399914527c73b03e527a5,120
C3-T7-H26_S1.1,Leray,08636a1495939b7805ca78f84db8556c3ef820fa,2
C3-T7-H26_S1.1,Leray,b68fae6872e6ece90c2620f6eba6a4a3871961c1,102
C3-T7-H26_S1.1,Leray,da535f96b34b54a724d1d7b6441466de9db71161,102
C3-T7-H26_S1.1,Leray,d0fd14451df7bcb24b1a411c4592a8270f098db2,49
C3-T7-H26_S1.1,Leray,63880099e6d2ebd6f0a1123c93fbc04473bbd13f,59
C3-T7-H26_S1.1,Leray,ff247edbafdeebf6cacdf5534d9d2223b15316a9,26
C3-T7-H26_S1.1,Leray,60ec15ff0776c7ddbd79a3e22d46b178059f9d48,52
C3-T7-H26_S1.1,Leray,6927b1c27b689d1e48541c27c5c625a6da617854,26
C3-T7-H26_S1.1,Leray,e1e78f858bb8cdfe7524f3cbb7e6fe1ac08139e6,25
C3-T7-H26_S1.1,Leray,bfde302f2bd3de23ebb8e551c4a4af4d71790f62,16
C3-T7-H26_S1.1,Leray,aa80b5711e94a14aa478a6f909142b3f7f91c490,15
C3-T7-H26_S1.1,Leray,9647331c0b29ed23e7dc56b733fa84cb9ec82180,40
C3-T7-H26_S1.1,Leray,dcb85ee0166a05dbc2f34cec6c8632d7ced8b3f3,46
C3-T7-H26_S1.1,Leray,8815d7eaa2a7f3b197a1d30b038b487e4e68e8e3,30
C3-T7-H26_S1.1,Leray,0c783107f67ae95d552b932ca65431797bf7ec30,35
C3-T7-H26_S1.1,Leray,ae877822502c88e1d2d0c165d5f177648b0a77db,11
C3-T7-H26_S1.1,Leray,adf2ca22feb9be6a21a7177df7b2be3a17fb1f07,22
C3-T7-H26_S1.1,Leray,d48fe49b6161a1b29edefe6183a88d18d72d20a3,2
C3-T7-H26_S1.1,Leray,a6a2a9f4b7a190289535a32a1df4a2456a5384b1,4
C3-T7-H26_S1.1,Leray,8f5cf65a7f52e702741b2b48d0db6e8f39782e46,25
C3-T7-H26_S1.1,Leray,4e97a989ec84de6ce9d722e5b48f3f2581e18eac,15
C3-T7-H26_S1.1,Leray,b21b196aa9efce800a664d614f5f1f5088c440ee,30
C3-T7-H26_S1.1,Leray,30831c9a8c2539997351cd1e1eb9abe305b770fb,13
C3-T7-H26_S1.1,Leray,78d37392cdbdd178c19373fef957cb21f031c56e,13
C3-T7-H26_S1.1,Leray,1dfabd1fb36e925dabf57e6ced258ec2420af3da,13
C3-T7-H26_S1.1,Leray,14f754da03f164a181f8d8daea94ee359b2db148,23
C3-T7-H26_S1.1,Leray,eebd28f4692ea416a6dd9e27f21f79eb79e1bff2,21
C3-T7-H26_S1.1,Leray,6ce9b8a2e8807e65f3cb4ca0542836eef45b6c39,17
C3-T7-H26_S1.1,Leray,adf6296454603f1a65394fd87b6b4d154c2ec22d,8
C3-T7-H26_S1.1,Leray,952e15b0c0759f0cfa1f10e8ffc96ae728915262,15
C3-T7-H26_S1.1,Leray,97a47a1ad1dc44c0058e02103b86afecd47837c6,14
C3-T7-H26_S1.1,Leray,9f551e3ad4a56cd5cdc7114c5f529ae75e19a671,13
C3-T7-H26_S1.1,Leray,9846a5efd49b93ca040150c2aed1d9ffe1b66ecf,9
C3-T7-H26_S1.1,Leray,5af31c146a4d97285be8f2077333cbb6e0627ef0,9
C3-T7-H26_S1.1,Leray,045b9f52e4d8bf6167a0cd62a06a89c364fcdd9c,9
C3-T7-H26_S1.1,Leray,de9024b3454052dc47fd8056d10cefe8bafef2af,7
C3-T7-H26_S1.1,Leray,0116b58b8410321d446a67fa80be554682d60dad,7
C3-T7-H26_S1.1,Leray,34251563235443a5b196b5a43e610ba79b40023a,10
C3-T7-H26_S1.1,Leray,8ccdd229e1db49e495e03ba0f23eea40e74f3076,10
C3-T7-H26_S1.1,Leray,6224bea7fc47c8af6eebe8aa0f6ff2d358cec052,9
C3-T7-H26_S1.1,Leray,8fa2c344a332bca6df8821f71360caf87a1dd416,7
C3-T7-H26_S1.1,Leray,33dc4c2b1e165a82191267fff83f1f026dace1c5,6
C3-T7-H26_S1.1,Leray,28430b860bc9a5a247bc4b00ba8022fe0b9e181f,6
C3-T7-H26_S1.1,Leray,677773f760c2e46ccccdf7c0ecad94d51555daa3,6
C3-T7-H26_S1.1,Leray,0a1d47bbad8c99ec36dbd496c86b84ab8c3ea414,6
C3-T7-H26_S1.1,Leray,ff3e494100dbba629b257c63e1d7c37dba73bf6f,5
C3-T7-H26_S1.1,Leray,44f408ac8f2456bfef156a8140f247445a7f50b4,4
C3-T7-H26_S1.1,Leray,1c2b6695cc6406ba3067039d197acdf8102a8b76,3
C3-T7-H26_S1.1,Leray,58f25d4a4d41e5d5af4fc1d604cc4ff546b43aad,3
C3-T7-H26_S2.1,Leray,830bac823005e96d85f6881aa0bd2c2b14a6b0ad,2016
C3-T7-H26_S2.1,Leray,18bc8062d256c224000582443890cdb333deb155,14
C3-T7-H26_S2.1,Leray,d2cfac82409025bfd1e14fa75921b4c92412930c,9
C3-T7-H26_S2.1,Leray,837020b55b70e40635c33417f7572942ca7a7009,23
C3-T7-H26_S2.1,Leray,6d0c70e49615649ba5545cf0f48a23fc27851bf2,930
C3-T7-H26_S2.1,Leray,699998b228e39009dc3427070b6bafcf3fb8c664,230
C3-T7-H26_S2.1,Leray,d474093452034412d0554164477475c9ed22de39,292
C3-T7-H26_S2.1,Leray,445ddbfaee1ead7545459cff31d251a75a0e7b8a,384
C3-T7-H26_S2.1,Leray,2adb8346ddc882a7ad9b1eb69a545297892686fe,574
C3-T7-H26_S2.1,Leray,ca70d50751542d35659403dc72f03416412d82f8,450
C3-T7-H26_S2.1,Leray,6fffe9e2669eb2657808a9e19c52f6993cfd4032,114
C3-T7-H26_S2.1,Leray,db4b6d492da229e88ce5c795266823b3c52382d7,346
C3-T7-H26_S2.1,Leray,210c5cae1a8a68254d483d7af92e7e9b26043269,5
C3-T7-H26_S2.1,Leray,72a4f10d511377831e9d2ccd90b92d1bbe1eb9b1,236
C3-T7-H26_S2.1,Leray,2f70a354cd905fd309a50f5ce14c343d62301677,7
C3-T7-H26_S2.1,Leray,73449c8c0aeba092eabc1bf8973fa154528b9d09,194
C3-T7-H26_S2.1,Leray,191852591b4d2d43f118faeb01e4a8b3fe27ec16,218
C3-T7-H26_S2.1,Leray,50b78dfa339c83fc7621e4ab735fd8dff2c1ed3a,126
C3-T7-H26_S2.1,Leray,771b5b72163868a0301d409973a520d9d7e7f524,188
C3-T7-H26_S2.1,Leray,9d3cf75f68aebdabbbad40c3f0290c92940181f7,205
C3-T7-H26_S2.1,Leray,2b772aaf91f3f938fb8ca5a6ccfc7e2a268e6215,186
C3-T7-H26_S2.1,Leray,e56d476b20367e7b0c9d64a8f45f0fb4a9f54972,53
C3-T7-H26_S2.1,Leray,400f599406f49445cff5fdbfa94c51fb02697f0d,65
C3-T7-H26_S2.1,Leray,06f3a41f79add6f9789f6135a84ee74dd71040f1,9
C3-T7-H26_S2.1,Leray,956b7613ec811604eb7581640fac8d9154aa413f,6
C3-T7-H26_S2.1,Leray,6ec87ffb59edb6cf8c3ba8a14324cb3ac647a957,12
C3-T7-H26_S2.1,Leray,3a57a5f86db3965ba7c713dce0753a65913de6d0,25
C3-T7-H26_S2.1,Leray,8448c4cb63086d593efe9ffcd3c2493d94efa525,22
C3-T7-H26_S2.1,Leray,7ff932988c8cf70b893da6e40dc486074308c618,15
C3-T7-H26_S2.1,Leray,f4ccbd0f2291471fb55095be28bd35f2ebac2e58,14
C3-T7-H26_S2.1,Leray,597e6fb3f12b9333c4f63a670b8224d032ee0c69,6
C3-T7-H26_S2.1,Leray,47b5c644f47ea6620b5f390cb5d67331fd227a87,6
C3-T7-H26_S2.1,Leray,c8af35931bcaccb12c0fb68c46677ad31e903deb,5
C3-T7-H26_S2.1,Leray,582c50cc31693e1d6fa6fdf01c1bf597304472bb,2
C3-T7-H26_S3.1,Leray,830bac823005e96d85f6881aa0bd2c2b14a6b0ad,10
C3-T7-H26_S3.1,Leray,68714bd4d91f5d800bb81a5f47e9e6f02384257b,18
C3-T7-H26_S3.1,Leray,add60dfdaa81b55c808fc154caf15ac941b0ca2a,9
C3-T7-H26_S3.1,Leray,9b221c0e8a8dd2ee82214bbc00bd37bbb2df307d,1883
C3-T7-H26_S3.1,Leray,cedc8a64d84604cf22989763a2dd9dd21da106bf,2040
C3-T7-H26_S3.1,Leray,a618c2b816fcf191faa8d9d0f7c5e2a9493c959c,923
C3-T7-H26_S3.1,Leray,24c0b69318a678939ba9f93094a44f8d226eaa56,344
C3-T7-H26_S3.1,Leray,33839e927895fe65dd93c481f467024b5ba0e3bf,132
C3-T7-H26_S3.1,Leray,837020b55b70e40635c33417f7572942ca7a7009,230
C3-T7-H26_S3.1,Leray,8d4cc2e8c7f20ba7e2a4c6ee4457f0a6a9b98d45,24
C3-T7-H26_S3.1,Leray,dbcdc0436dc94019e54850fc03f4a79efadac140,8
C3-T7-H26_S3.1,Leray,45218bbce4a242b369b1f75feae1df4199ce3184,39
C3-T7-H26_S3.1,Leray,39e9e35df5f7fc0ad309ccf548e530455e0dc43b,306
C3-T7-H26_S3.1,Leray,7adace709ce29ad37e31c1253904a6927424f353,330
C3-T7-H26_S3.1,Leray,0024d4c453065d2e9af807d31529fa9c00bf129a,291
C3-T7-H26_S3.1,Leray,c25abcc3358f7552ed039ccacfb4b28467b2ca9b,89
C3-T7-H26_S3.1,Leray,72d062446bb7ba8f9c7915f64384ee7d8b603d0c,71
C3-T7-H26_S3.1,Leray,3c9b2ac9f3bbbf0b47146977ac9ac896d4e5d96f,175
C3-T7-H26_S3.1,Leray,365a0e9f26b722261bf58fa04e7c7d4a783992de,46
C3-T7-H26_S3.1,Leray,29fb71347dc295987beb64f0892f14c43e7acfa0,175
C3-T7-H26_S3.1,Leray,e2c516c83e90b42a475de865636459e68274c3cc,27
C3-T7-H26_S3.1,Leray,3b4ada1bf0a5f33636d3a04f1421d977779a686f,18
C3-T7-H26_S3.1,Leray,aef58d858ad06fd7200deebad20c302c2a672ebc,7
C3-T7-H26_S3.1,Leray,5a1f7a188740c442f01115808f3167a0b1f1b1cf,4
C3-T7-H26_S3.1,Leray,29595f5ef3c4ba3c364628e3483e964ceecd25b6,2
C3-T7-H26_S3.1,Leray,50e9cc0583378ac82f82b13804b4663741083d86,2
CT1-T1-H28_S1.1,Leray,c240b5f38c73bcdef8ba7aea1f95273b2d40e3e5,19
CT1-T1-H28_S1.1,Leray,7df189e993f359afe2e5bcaebc5218a2a5b5b64e,154
