"","Hash","C1.T7.H9_S1","C1.T8.H10_S1","C2.T8.H18_S1","C3.T6.H25_S1","C3.T7.H26_S1","CT1.T1.H28_S1","CT1.T2.H29_S1","CT1.T3.H30_S1","CT1.T4.H31_S1","CT1.T5.H32_S1","CT1.T6.H33_S1","CT1.T7.H34_S1","CT1.T8.H35_S1","CT2.T1.H36_S1","CT2.T4.H39_S1","CT2.T8.H43_S1"
"63","0c51f2f29827df7af1f0210d4764602e7050b193",0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0
"64","0c5fa17f7ecf209f6fd088aa6fd53eb627bafcf0",599,242,199,0,0,85,0,0,0,0,0,434,204,20,2056,113
"65","0c783107f67ae95d552b932ca65431797bf7ec30",0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0
"66","0c84003ceec1fb7c3e6c2c04c0221e1bcf2c45f0",0,0,0,0,0,0,0,0,419,0,0,0,0,0,0,0
"67","0c92aaaa1c9d729bf02e8965834822eb3e5b3f92",0,0,0,0,168,18,0,0,0,0,42,0,0,0,0,0
"68","0c9e06089e2fb74ed81cae1c9aba3c42952ddbe6",0,0,0,124,122,0,0,0,0,0,0,0,0,0,0,0
"69","0cc7783b88175ad26d5777ca4f3a521d14a66c1c",0,0,0,0,214,0,0,360,0,0,0,0,0,0,0,0
"70","0cd1b1355ebccd553a521a029e63ba156e14299f",0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0
"71","0d26659ef6ba36b1544185c99cdd9b2b03abec03",0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
"72","0d5a2b9078937a5f710bae6768072e3908ce7f58",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31
"73","0d6de660a5c61dc7f9506fefc67ad1df3d412264",0,0,0,0,0,0,0,0,0,0,0,0,0,0,529,0
"74","0ddfc68cf28edf568a04038d7ff59a3430a03dd6",0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0
"75","0de53510347e58dabda2dc43270f04ad3ea2da5c",144,0,176,253,588,0,174,0,1079,0,14587,49,0,0,0,0
"76","0e1202671cb104c88b6ea9e2776af00a3a3dc0a6",178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"77","0e4b156e1d629efde4a48645dfca0d7120f2e211",0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
"78","0eaedf31320bcd03c670c67bea423c1b0de1e51b",0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0
"79","0eb98ce7667419404efc7515fee920ef78db9145",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
"80","0eff59f5455a58f0a93e72b8caffb081d38c1191",38,0,0,0,0,13,3,0,0,0,0,0,0,0,0,0
"81","0f5c21c62ae3f2767c7a229c02a2870eee10daa1",0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
"82","0f91b603c991325a762aead17a651b680c9fa1ab",0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0
"83","1049c8f07d97359963a404f1fdb5f06f4cf96e74",0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0
"84","105022ebc53ba04d217c09615ce60fe44c82a883",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"85","105584920e1bfffbb3e56c0fa7c2397446c2bb2b",0,0,0,61,86,0,0,0,0,0,0,0,0,0,0,0
"86","1065c0cd81052d1506d1a89f7cae4dd7ed81067e",0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
"87","10c3d1c8405b910ef842f394542a5580dc7e9010",709,209,1305,104,486,206,236,99,467,696,278,201,177,279,0,255
"88","10d98a9e8191737474408e3922019918cf9ce20e",0,0,0,0,682,0,0,0,91,0,0,0,0,73,0,0
"89","114d9a26e85197775de9b4d539b22900e02bb33c",0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0
