,Sample_name,cycle_num,Pool,sample_id,sample_num
138,CT2.T4.H39_S2.1,30,1,CT2.T4.H39_S2,CT2.T4.H39_S2
139,CT2.T4.H39_S2.2,30,2,CT2.T4.H39_S2,CT2.T4.H39_S2
140,CT2.T4.H39_S2.3,30,3,CT2.T4.H39_S2,CT2.T4.H39_S2
141,CT2.T4.H39_S3.1,30,1,CT2.T4.H39_S3,CT2.T4.H39_S3
142,CT2.T4.H39_S3.2,30,2,CT2.T4.H39_S3,CT2.T4.H39_S3
143,CT2.T4.H39_S3.3,30,3,CT2.T4.H39_S3,CT2.T4.H39_S3
144,CT2.T8.H43_S1.1,30,1,CT2.T8.H43_S1,CT2.T8.H43_S1
145,CT2.T8.H43_S1.2,30,2,CT2.T8.H43_S1,CT2.T8.H43_S1
146,CT2.T8.H43_S1.3,30,3,CT2.T8.H43_S1,CT2.T8.H43_S1
147,CT2.T8.H43_S2.1,30,1,CT2.T8.H43_S2,CT2.T8.H43_S2
148,CT2.T8.H43_S2.2,30,2,CT2.T8.H43_S2,CT2.T8.H43_S2
149,CT2.T8.H43_S2.3,30,3,CT2.T8.H43_S2,CT2.T8.H43_S2
150,CT2.T8.H43_S3.1,30,1,CT2.T8.H43_S3,CT2.T8.H43_S3
151,CT2.T8.H43_S3.2,30,2,CT2.T8.H43_S3,CT2.T8.H43_S3
152,CT2.T8.H43_S3.3,30,3,CT2.T8.H43_S3,CT2.T8.H43_S3
