,Sample_name,cycle_num,Pool,sample_id,sample_num
171,CT1.T7.H34_S2.1,30,1,CT1.T7.H34_S2,CT1.T7.H34_S2
172,CT1.T7.H34_S2.2,30,2,CT1.T7.H34_S2,CT1.T7.H34_S2
173,CT1.T7.H34_S2.3,30,3,CT1.T7.H34_S2,CT1.T7.H34_S2
174,CT1.T8.H35_S2.1,30,1,CT1.T8.H35_S2,CT1.T8.H35_S2
175,CT1.T8.H35_S2.2,30,2,CT1.T8.H35_S2,CT1.T8.H35_S2
176,CT1.T8.H35_S2.4,30,4,CT1.T8.H35_S2,CT1.T8.H35_S2
177,CT2.T1.H36_S2.1,30,1,CT2.T1.H36_S2,CT2.T1.H36_S2
178,CT2.T1.H36_S2.2,30,2,CT2.T1.H36_S2,CT2.T1.H36_S2
179,CT2.T4.H39_S2.1,30,1,CT2.T4.H39_S2,CT2.T4.H39_S2
180,CT2.T4.H39_S2.2,30,2,CT2.T4.H39_S2,CT2.T4.H39_S2
181,CT2.T4.H39_S2.3,30,3,CT2.T4.H39_S2,CT2.T4.H39_S2
182,CT2.T8.H43_S2.1,30,1,CT2.T8.H43_S2,CT2.T8.H43_S2
183,CT2.T8.H43_S2.2,30,2,CT2.T8.H43_S2,CT2.T8.H43_S2
184,CT2.T8.H43_S2.3,30,3,CT2.T8.H43_S2,CT2.T8.H43_S2
185,CT1.T6.H33_S3.1,30,1,CT1.T6.H33_S3,CT1.T6.H33_S3
186,CT1.T6.H33_S3.2,30,2,CT1.T6.H33_S3,CT1.T6.H33_S3
187,CT1.T6.H33_S3.3,30,3,CT1.T6.H33_S3,CT1.T6.H33_S3
188,CT1.T7.H34_S3.1,30,1,CT1.T7.H34_S3,CT1.T7.H34_S3
189,CT1.T7.H34_S3.2,30,2,CT1.T7.H34_S3,CT1.T7.H34_S3
190,CT1.T7.H34_S3.3,30,3,CT1.T7.H34_S3,CT1.T7.H34_S3
191,CT1.T8.H35_S3.1,30,1,CT1.T8.H35_S3,CT1.T8.H35_S3
192,CT1.T8.H35_S3.2,30,2,CT1.T8.H35_S3,CT1.T8.H35_S3
193,CT2.T1.H36_S3.1,30,1,CT2.T1.H36_S3,CT2.T1.H36_S3
194,CT2.T1.H36_S3.2,30,2,CT2.T1.H36_S3,CT2.T1.H36_S3
195,CT2.T1.H36_S3.3,30,3,CT2.T1.H36_S3,CT2.T1.H36_S3
196,CT2.T4.H39_S3.1,30,1,CT2.T4.H39_S3,CT2.T4.H39_S3
197,CT2.T4.H39_S3.2,30,2,CT2.T4.H39_S3,CT2.T4.H39_S3
198,CT2.T4.H39_S3.3,30,3,CT2.T4.H39_S3,CT2.T4.H39_S3
199,CT2.T8.H43_S3.1,30,1,CT2.T8.H43_S3,CT2.T8.H43_S3
200,CT2.T8.H43_S3.2,30,2,CT2.T8.H43_S3,CT2.T8.H43_S3
201,CT2.T8.H43_S3.3,30,3,CT2.T8.H43_S3,CT2.T8.H43_S3
