"","Kingdom","Phylum","Subphylum","Class","Subclass","Superorder","Order","Family","Genus","Species"
"3efc3bd932f5238a77694e73a5d01279ca415438","Animalia","Chordata","Tunicata","Thaliacea","Subclass","Superorder","Doliolida","Doliolidae","Doliolum",NA
"6206693b8580d16f8817597db5eb720da006d4a3","Animalia","Arthropoda","Crustacea","Malacostraca","Eumalacostraca","Eucarida","Euphausiacea","Euphausiidae","Stylocheiron",NA
"62680b3b492e00dadfb5df31c97234d09c08bd2c","Animalia","Platyhelminthes","Rhabditophora","Class","Subclass","Superorder","Polycladida","Notocomplanidae","Notocomplana",NA
"9e4a0a507e7d39594f4a64ca2eaa4d4b3a1da8a6","Animalia","Cnidaria","Subphylum","Hydrozoa","Hydroidolina","Superorder","Siphonophorae","Agalmatidae","Agalma",NA
"a32fc91489b7a81b814c9f53d4ae138157f44bd6","Animalia","Arthropoda","Crustacea","Hexanauplia","Copepoda","Gymnoplea","Calanoida","Paracalanidae","Calocalanus",NA
"b80a125715dc8b3fa8d990cb273c2fa124127f87","Animalia","Arthropoda","Crustacea","Malacostraca","Eumalacostraca","Eucarida","Decapoda","Sergestidae","Neosergestes",NA
"d087bfc38fdc865d5f7c40af12a5e35e9a99ea2d","Animalia","Arthropoda","Crustacea","Hexanauplia","Copepoda","Gymnoplea","Calanoida","Scolecitrichidae","Lophothrix",NA
"8744dd2858c0eda66f6daf9c90a1b92a6ab6c820","Animalia","Mollusca","Subphylum","Gastropoda","Heterobranchia","Superorder","Pteropoda","Clionidae","Clione",NA
"920f75722272dca999a3bf9a69c8a4c4f5a30fa1","Animalia","Arthropoda","Crustacea","Malacostraca","Eumalacostraca","Peracarida","Amphipoda","Paraphronimidae","Paraphronima",NA
"...51","other","other","other","other","other","other","other","other","other","other"
