"","Lambda.Parameter","Lambda.coord","Lambda.covariate","Lambda.p2.5","Lambda.p25","Lambda.p50","Lambda.mean","Lambda.p75","Lambda.p97.5","pool","pool_type","Size","primer","size_fraction","rank_pool"
"43","Lambda","clr_Ctenocalanus","cycle_num",-0.156572214467942,-0.111912487031248,-0.0907685677090412,-0.0908287196296493,-0.0692710198225265,-0.0267212924442899,"B3_B5_S2_COI","B3","S2","COI",0.5,3
"44","Lambda","clr_Eucalanus","cycle_num",-0.0118983336714994,0.032419330629539,0.0529485808223489,0.0530113306274941,0.0738173161573224,0.117305075547669,"B3_B5_S2_COI","B3","S2","COI",0.5,3
"45","Lambda","clr_Pleuromamma","cycle_num",-0.0959570129297109,-0.0610657597249617,-0.0439735439647458,-0.0441961008177241,-0.0273631378485342,0.00622687702847055,"B3_B5_S2_COI","B3","S2","COI",0.5,3
"46","Lambda","clr_unidentified Sagittidae","cycle_num",-0.0469521690326743,-0.00938320081301577,0.00897932888102668,0.00881801236976865,0.0269513075167782,0.0629184299059921,"B3_B5_S2_COI","B3","S2","COI",0.5,3
"47","Lambda","clr_other","cycle_num",0.0257759630484929,0.0577672695868375,0.0730687653518385,0.0731954774501106,0.0887577961441355,0.120206140649139,"B3_B5_S2_COI","B3","S2","COI",0.5,3
"48","Lambda","clr_Calanus","cycle_num",-0.172298714703555,-0.12933503939238,-0.108776968212227,-0.108973448652479,-0.0881960503192637,-0.0466907870320544,"B3_B5_S3_COI","B3","S3","COI",1,3
"49","Lambda","clr_Candacia","cycle_num",-0.0557807872404094,-0.0157378597272147,0.0041318682271741,0.00387818789792336,0.0233681314710263,0.0637957956591823,"B3_B5_S3_COI","B3","S3","COI",1,3
"50","Lambda","clr_Eucalanus","cycle_num",-0.0347717436609579,0.00503285971683866,0.0242588318992797,0.0245474133323275,0.0444036239322787,0.08363488787058,"B3_B5_S3_COI","B3","S3","COI",1,3
"51","Lambda","clr_other","cycle_num",0.0384713066891943,0.0665688550512217,0.0803355191814242,0.0805478474222282,0.094379783591157,0.123688704736651,"B3_B5_S3_COI","B3","S3","COI",1,3
"52","Lambda","clr_Calanus","cycle_num",-0.0229057314567146,0.0277746772591637,0.0530877497845333,0.0528688671725076,0.0784904897883439,0.128716192151472,"C5_C7_S1_COI","C5","S1","COI",0.2,4
"53","Lambda","clr_Ctenocalanus","cycle_num",-0.0850916320179883,-0.0403743613728468,-0.0185854173926623,-0.0192318473641131,0.00233366879392065,0.0451538353393115,"C5_C7_S1_COI","C5","S1","COI",0.2,4
"54","Lambda","clr_Ditrichocorycaeus","cycle_num",-0.0801728526915141,-0.0421473544480155,-0.0242136525055485,-0.0239868368015441,-0.00561318843448592,0.0307845534778051,"C5_C7_S1_COI","C5","S1","COI",0.2,4
"55","Lambda","clr_Eucalanus","cycle_num",-0.12532297500863,-0.0452133901898489,-0.00557410535325215,-0.00508257095081785,0.034796367860723,0.116837248905857,"C5_C7_S1_COI","C5","S1","COI",0.2,4
"56","Lambda","clr_Euphausia","cycle_num",-7.52407768756291e-05,0.0466598284908957,0.0701540561139531,0.0703861053628576,0.0931946215197756,0.143339221647512,"C5_C7_S1_COI","C5","S1","COI",0.2,4
"57","Lambda","clr_Muggiaea","cycle_num",-0.195664973152823,-0.146630942985401,-0.122691672865647,-0.122828162476292,-0.0991030348483858,-0.0510679645297642,"C5_C7_S1_COI","C5","S1","COI",0.2,4
"58","Lambda","clr_other","cycle_num",0.0031723300004797,0.0329147544744482,0.047582171347559,0.0478744450574021,0.0628077121597369,0.0922028448700031,"C5_C7_S1_COI","C5","S1","COI",0.2,4
"59","Lambda","clr_Calanus","cycle_num",-0.00860805813470242,0.0288721194928466,0.0478460004182998,0.0478144762789139,0.0667242555046352,0.104417276264202,"C5_C7_S2_COI","C5","S2","COI",0.5,4
"60","Lambda","clr_Eucalanus","cycle_num",-0.0685033001417681,-0.032927851872504,-0.0154658399492716,-0.0152079598116793,0.00233832370620285,0.0394627006079645,"C5_C7_S2_COI","C5","S2","COI",0.5,4
"61","Lambda","clr_Euphausia","cycle_num",-0.0415874397690205,-0.0176473544100809,-0.00582127942541502,-0.00608030815620782,0.00536385260020483,0.0282543522467647,"C5_C7_S2_COI","C5","S2","COI",0.5,4
"62","Lambda","clr_other","cycle_num",-0.0712757366325838,-0.0414136601825126,-0.0260993909140093,-0.0265262083110267,-0.0115543770718017,0.0178984596360612,"C5_C7_S2_COI","C5","S2","COI",0.5,4
"63","Lambda","clr_Calanus","cycle_num",-0.0234770365455326,0.00680765168470759,0.0215421881109541,0.0216489632098884,0.0365712904204918,0.0654529562044109,"C5_C7_S3_COI","C5","S3","COI",1,4
"64","Lambda","clr_Euphausia","cycle_num",0.0181596043364002,0.0430853434988402,0.0556526828768091,0.0558332824089674,0.0686000322569963,0.0938804189686993,"C5_C7_S3_COI","C5","S3","COI",1,4
"65","Lambda","clr_Pleuromamma","cycle_num",-0.115743903902361,-0.0919771261488049,-0.0800478337715242,-0.0799591666441915,-0.0679325844079625,-0.0442698438953914,"C5_C7_S3_COI","C5","S3","COI",1,4
"66","Lambda","clr_Rosacea","cycle_num",-0.161163366829406,-0.126045072390426,-0.107920509768726,-0.10803252642793,-0.0899378650094701,-0.0567720666733271,"C5_C7_S3_COI","C5","S3","COI",1,4
"67","Lambda","clr_other","cycle_num",0.0748821552438614,0.0982959862823015,0.110682860840657,0.110509447453266,0.122702389350373,0.146191799081771,"C5_C7_S3_COI","C5","S3","COI",1,4
"68","Lambda","clr_Acrocalanus","cycle_num",-0.0838826241308447,-0.0364182488029569,-0.0117233658042946,-0.0120987375783124,0.0118605391802061,0.0581598260260709,"AllandSub_S1_COI","AllandSub","S1","COI",0.2,NA
"69","Lambda","clr_Calanus","cycle_num",-0.0226095034549528,0.0181302997393641,0.0392403755306222,0.0391313797398986,0.0603063865834885,0.100799507772322,"AllandSub_S1_COI","AllandSub","S1","COI",0.2,NA
"70","Lambda","clr_Ctenocalanus","cycle_num",0.0836223780694717,0.113655743859112,0.129245707675502,0.129332417216903,0.144607431339422,0.177020406835474,"AllandSub_S1_COI","AllandSub","S1","COI",0.2,NA
"71","Lambda","clr_Ditrichocorycaeus","cycle_num",-0.056288968456605,-0.0238693813616803,-0.00718942211622726,-0.00763937882435818,0.0088320382229865,0.0404117570875119,"AllandSub_S1_COI","AllandSub","S1","COI",0.2,NA
"72","Lambda","clr_Eucalanus","cycle_num",-0.183752185194459,-0.106660329572679,-0.0684086332742546,-0.0689183544180624,-0.0308774081541318,0.044387625143739,"AllandSub_S1_COI","AllandSub","S1","COI",0.2,NA
"73","Lambda","clr_Euchaeta","cycle_num",-0.0949254950864352,-0.0560116140458149,-0.0370329064821713,-0.0371033300564903,-0.0180027865977509,0.0195041484350251,"AllandSub_S1_COI","AllandSub","S1","COI",0.2,NA
"74","Lambda","clr_Euphausia","cycle_num",0.0386979755624015,0.0677575005436919,0.082509424521695,0.082229550661241,0.0971584661996386,0.125546684972562,"AllandSub_S1_COI","AllandSub","S1","COI",0.2,NA
"75","Lambda","clr_Metridia","cycle_num",-0.0776951655322531,-0.0484569969623925,-0.034828874067731,-0.0350315739750896,-0.0211960432846283,0.00516810791758941,"AllandSub_S1_COI","AllandSub","S1","COI",0.2,NA
"76","Lambda","clr_Muggiaea","cycle_num",-0.150873434763775,-0.121233394831267,-0.107135332581556,-0.10769831219237,-0.0934644408952614,-0.0678375465784696,"AllandSub_S1_COI","AllandSub","S1","COI",0.2,NA
"77","Lambda","clr_Pleuromamma","cycle_num",-0.0070401497044102,0.024076296290372,0.0401007814786312,0.0398336157120461,0.0555493817818301,0.0860901595472724,"AllandSub_S1_COI","AllandSub","S1","COI",0.2,NA
"78","Lambda","clr_Pyroteuthis","cycle_num",-0.224874550541439,-0.186732840097212,-0.167799534509743,-0.168065820451063,-0.14944019114674,-0.112331807057452,"AllandSub_S1_COI","AllandSub","S1","COI",0.2,NA
"79","Lambda","clr_Rosacea","cycle_num",-0.150126254765512,-0.118127544432724,-0.103468863580688,-0.104188554692475,-0.0894594443722534,-0.0629706772734267,"AllandSub_S1_COI","AllandSub","S1","COI",0.2,NA
"80","Lambda","clr_Sagitta","cycle_num",-0.10115032900481,-0.0548154619908298,-0.0317059747406784,-0.0319848397975496,-0.00925797868116084,0.0353815219290486,"AllandSub_S1_COI","AllandSub","S1","COI",0.2,NA
"81","Lambda","clr_other","cycle_num",0.0745557155964589,0.102850683742264,0.117137906453651,0.117139237769332,0.131417938889089,0.160215459849911,"AllandSub_S1_COI","AllandSub","S1","COI",0.2,NA
"82","Lambda","clr_unidentified Calanoida","cycle_num",0.120108202288646,0.149774772384698,0.165031765066862,0.165062700886349,0.180310311535755,0.210008000721887,"AllandSub_S1_COI","AllandSub","S1","COI",0.2,NA
"83","Lambda","clr_Acrocalanus","cycle_num",-0.0838826241308447,-0.0364182488029569,-0.0117233658042946,-0.0120987375783124,0.0118605391802061,0.0581598260260709,"AllandSub_S2_COI","AllandSub","S2","COI",0.5,NA
"84","Lambda","clr_Calanus","cycle_num",-0.0226095034549528,0.0181302997393641,0.0392403755306222,0.0391313797398986,0.0603063865834885,0.100799507772322,"AllandSub_S2_COI","AllandSub","S2","COI",0.5,NA
"85","Lambda","clr_Ctenocalanus","cycle_num",0.0836223780694717,0.113655743859112,0.129245707675502,0.129332417216903,0.144607431339422,0.177020406835474,"AllandSub_S2_COI","AllandSub","S2","COI",0.5,NA
"86","Lambda","clr_Ditrichocorycaeus","cycle_num",-0.056288968456605,-0.0238693813616803,-0.00718942211622726,-0.00763937882435818,0.0088320382229865,0.0404117570875119,"AllandSub_S2_COI","AllandSub","S2","COI",0.5,NA
"87","Lambda","clr_Eucalanus","cycle_num",-0.183752185194459,-0.106660329572679,-0.0684086332742546,-0.0689183544180624,-0.0308774081541318,0.044387625143739,"AllandSub_S2_COI","AllandSub","S2","COI",0.5,NA
"88","Lambda","clr_Euchaeta","cycle_num",-0.0949254950864352,-0.0560116140458149,-0.0370329064821713,-0.0371033300564903,-0.0180027865977509,0.0195041484350251,"AllandSub_S2_COI","AllandSub","S2","COI",0.5,NA
"89","Lambda","clr_Euphausia","cycle_num",0.0386979755624015,0.0677575005436919,0.082509424521695,0.082229550661241,0.0971584661996386,0.125546684972562,"AllandSub_S2_COI","AllandSub","S2","COI",0.5,NA
"90","Lambda","clr_Metridia","cycle_num",-0.0776951655322531,-0.0484569969623925,-0.034828874067731,-0.0350315739750896,-0.0211960432846283,0.00516810791758941,"AllandSub_S2_COI","AllandSub","S2","COI",0.5,NA
"91","Lambda","clr_Muggiaea","cycle_num",-0.150873434763775,-0.121233394831267,-0.107135332581556,-0.10769831219237,-0.0934644408952614,-0.0678375465784696,"AllandSub_S2_COI","AllandSub","S2","COI",0.5,NA
"92","Lambda","clr_Pleuromamma","cycle_num",-0.0070401497044102,0.024076296290372,0.0401007814786312,0.0398336157120461,0.0555493817818301,0.0860901595472724,"AllandSub_S2_COI","AllandSub","S2","COI",0.5,NA
"93","Lambda","clr_Pyroteuthis","cycle_num",-0.224874550541439,-0.186732840097212,-0.167799534509743,-0.168065820451063,-0.14944019114674,-0.112331807057452,"AllandSub_S2_COI","AllandSub","S2","COI",0.5,NA
"94","Lambda","clr_Rosacea","cycle_num",-0.150126254765512,-0.118127544432724,-0.103468863580688,-0.104188554692475,-0.0894594443722534,-0.0629706772734267,"AllandSub_S2_COI","AllandSub","S2","COI",0.5,NA
"95","Lambda","clr_Sagitta","cycle_num",-0.10115032900481,-0.0548154619908298,-0.0317059747406784,-0.0319848397975496,-0.00925797868116084,0.0353815219290486,"AllandSub_S2_COI","AllandSub","S2","COI",0.5,NA
"96","Lambda","clr_other","cycle_num",0.0745557155964589,0.102850683742264,0.117137906453651,0.117139237769332,0.131417938889089,0.160215459849911,"AllandSub_S2_COI","AllandSub","S2","COI",0.5,NA
"97","Lambda","clr_unidentified Calanoida","cycle_num",0.120108202288646,0.149774772384698,0.165031765066862,0.165062700886349,0.180310311535755,0.210008000721887,"AllandSub_S2_COI","AllandSub","S2","COI",0.5,NA
"98","Lambda","clr_Acrocalanus","cycle_num",-0.0238551981117136,0.0032042181887735,0.0166656284285187,0.0166088803856933,0.0299934845466307,0.0565116674350088,"AllandSub_S3_COI","AllandSub","S3","COI",1,NA
"99","Lambda","clr_Calanus","cycle_num",0.0327852376309029,0.0707010471488962,0.0894449053043205,0.0892594743813312,0.108264921409151,0.143059658608769,"AllandSub_S3_COI","AllandSub","S3","COI",1,NA
"100","Lambda","clr_Ctenocalanus","cycle_num",-0.149155516608359,-0.121029372697244,-0.107360145649461,-0.107573167448871,-0.0937135294528817,-0.0682069144646257,"AllandSub_S3_COI","AllandSub","S3","COI",1,NA
"101","Lambda","clr_Ditrichocorycaeus","cycle_num",-0.155481595428635,-0.126977213921219,-0.112847080330681,-0.113176323500513,-0.0988643921213656,-0.0725317796186581,"AllandSub_S3_COI","AllandSub","S3","COI",1,NA
