"","Lambda.Parameter","Lambda.coord","Lambda.covariate","Lambda.p2.5","Lambda.p25","Lambda.p50","Lambda.mean","Lambda.p75","Lambda.p97.5","pool","pool_type","Size","primer","size_fraction","rank_pool"
"61","Lambda","clr_Eucalanidae","cycle_num",-0.233260544874245,-0.190267307707263,-0.170253900457406,-0.170940375279589,-0.150781645675149,-0.113089772648231,"B3_B5_S1_18S","B3","S1","18S",0.2,3
"62","Lambda","clr_Euphausiidae","cycle_num",-0.0426310327136447,-0.017324955543083,-0.00439281601084018,-0.00439749276041959,0.0085978455034406,0.0335209917510217,"B3_B5_S1_18S","B3","S1","18S",0.2,3
"63","Lambda","clr_Metridinidae","cycle_num",0.109784239988448,0.142513777615824,0.158314789608699,0.158476466361955,0.174532490521159,0.206224455426958,"B3_B5_S1_18S","B3","S1","18S",0.2,3
"64","Lambda","clr_Oithonidae","cycle_num",-0.0600744279180276,-0.037317080238716,-0.0258658379396356,-0.02609357684409,-0.0145253108256783,0.00683883547614447,"B3_B5_S1_18S","B3","S1","18S",0.2,3
"65","Lambda","clr_Paracalanidae","cycle_num",0.0149162642532834,0.035721613937978,0.0459871234822177,0.0461581911793854,0.0566852444219542,0.0775985108687306,"B3_B5_S1_18S","B3","S1","18S",0.2,3
"66","Lambda","clr_Rhincalanidae","cycle_num",-0.137115973743838,-0.0823743279509422,-0.0550607981296603,-0.0550693718266414,-0.0278111665637113,0.0276083891283168,"B3_B5_S1_18S","B3","S1","18S",0.2,3
"67","Lambda","clr_other","cycle_num",-0.249168242847516,-0.167780908329461,-0.128595456287445,-0.129191676960921,-0.089372507408862,-0.0127981289161626,"B3_B5_S1_18S","B3","S1","18S",0.2,3
"68","Lambda","clr_Calanidae","cycle_num",0.0552654878964316,0.0805066492800361,0.0934442470348408,0.093481054491432,0.106292332742679,0.132179592883686,"B3_B5_S2_18S","B3","S2","18S",0.5,3
"69","Lambda","clr_Clausocalanidae","cycle_num",0.0228343816808228,0.0484257037997337,0.0611495174071346,0.0612180607102359,0.0742214083383142,0.100639678655391,"B3_B5_S2_18S","B3","S2","18S",0.5,3
"70","Lambda","clr_Eucalanidae","cycle_num",-0.143876567427133,-0.103592897544131,-0.0851951741554657,-0.0853053316300206,-0.0661210318319544,-0.0287325901877131,"B3_B5_S2_18S","B3","S2","18S",0.5,3
"71","Lambda","clr_Euphausiidae","cycle_num",-0.0063033296032058,0.029270734037641,0.0463728930056046,0.0462941249129491,0.0635793880238115,0.0981507521741682,"B3_B5_S2_18S","B3","S2","18S",0.5,3
"72","Lambda","clr_Metridinidae","cycle_num",0.125568984609983,0.158813745077124,0.174867679671753,0.174766276941647,0.191054524458237,0.22353665690343,"B3_B5_S2_18S","B3","S2","18S",0.5,3
"73","Lambda","clr_Oithonidae","cycle_num",-0.198514482930457,-0.156218771209555,-0.13560456766212,-0.136199218473606,-0.115350306444467,-0.0783290751847547,"B3_B5_S2_18S","B3","S2","18S",0.5,3
"74","Lambda","clr_Paracalanidae","cycle_num",-0.112139084320831,-0.0763078171387884,-0.0582825419218535,-0.0589031516680946,-0.041362057225406,-0.00775533597877499,"B3_B5_S2_18S","B3","S2","18S",0.5,3
"75","Lambda","clr_Rhincalanidae","cycle_num",-0.0809095829238375,-0.0289150386013056,-0.00453177805227922,-0.00447259519567497,0.0208535528178958,0.07158938399583,"B3_B5_S2_18S","B3","S2","18S",0.5,3
"76","Lambda","clr_other","cycle_num",-0.184257941109032,-0.121407244474257,-0.0907780573737312,-0.0908792200888669,-0.0593475423827685,-0.000261402546609141,"B3_B5_S2_18S","B3","S2","18S",0.5,3
"77","Lambda","clr_Calanidae","cycle_num",0.0366075767892985,0.0721061007956069,0.0898035026984729,0.0896553695853882,0.107272134813755,0.142837700927753,"B3_B5_S3_18S","B3","S3","18S",1,3
"78","Lambda","clr_Clausocalanidae","cycle_num",0.0116300671322579,0.0413435956911071,0.0556731234136225,0.0556362439344599,0.0700471259550653,0.0982303853299363,"B3_B5_S3_18S","B3","S3","18S",1,3
